sponsor_type,enrollment
Other,174
Other,17
Industry,63
Other,225
Other,94
Industry,186
Industry,11
Industry,47
Industry,622
Other,295
NIH,103
Industry,82
Other,166
Industry,119
Other,45
Industry,21
Other,46
Industry,94
Industry,139
Other,215
Other,71
Other,29
Industry,119
Other,329
Industry,93
Industry,5
Industry,58
Other,17
Other,35
Industry,80
Industry,239
Industry,51
Industry,91
Industry,193
Other,60
Other,32
Industry,85
Industry,96
Industry,69
Industry,267
Industry,125
Industry,12
Other,57
Industry,300
Industry,15
NIH,515
Industry,20
Industry,26
Industry,142
Other,25
Industry,29
Other,300
Industry,103
NIH,47
Industry,68
Other,234
Industry,23
Industry,114
Industry,158
Industry,132
Other,22
Industry,51
Industry,577
Industry,28
Industry,86
Industry,260
Industry,116
Industry,320
Industry,17
Industry,117
Other,9
Industry,63
Other,514
Industry,79
NIH,71
Industry,55
Industry,194
Other,11
Other,29
Industry,95
Industry,133
Industry,7
Industry,89
Other,240
Industry,49
NIH,228
Industry,30
Industry,37
Industry,29
Other,62
Industry,18
Industry,106
Industry,75
Industry,42
Other,332
Other,40
Industry,31
Other,26
Other,74
Other,93
Industry,102
Other,9
Other,123
Industry,224
Industry,83
Industry,375
Industry,182
Other,131
Industry,36
Other,156
Industry,65
Other,40
Industry,59
Other,54
Other,38
Industry,8
Industry,440
Other,57
Other,5
Industry,199
Industry,294
Industry,47
Industry,489
Industry,59
Other,18
NIH,36
NIH,15
Industry,106
Industry,145
Industry,186
Industry,137
Other,192
Industry,857
Other,14
Industry,51
Other,23
Other,79
Industry,39
Industry,6
Other,274
Industry,221
Other,26
Other,13
Industry,99
Industry,173
Other,379
Industry,28
Industry,97
Industry,14
Other,363
Industry,127
Industry,43
Industry,51
Other,31
Industry,192
Industry,476
Industry,92
Industry,70
Other,147
Industry,87
Other,31
Industry,238
Other,16
NIH,138
Industry,67
Other,5
Other,23
Industry,71
Other,8
Industry,37
Industry,117
Industry,126
Other,46
Industry,246
Industry,154
Other,20
Other,15
Industry,258
Other,10
NIH,36
Other,34
Industry,58
Other,13
Other,8
NIH,58
Industry,125
Industry,62
Other,260
Industry,132
Industry,48
Industry,180
Other,112
Other,42
Industry,120
Industry,89
Other,7
Industry,1168
NIH,223
Other,88
Other,153
Other,38
Industry,118
Other,31
Industry,18
Other,999
Other,37
Industry,79
Industry,486
Other,508
Industry,272
Other,18
Other,10
Industry,102
Industry,72
Industry,57
Other,63
NIH,197
Industry,44
Industry,59
Industry,130
NIH,28
NIH,361
Other,5
Industry,97
NIH,202
Other,22
Industry,20
Industry,68
Industry,357
Other,109
Other,186
Other,139
Industry,30
Industry,66
Industry,118
Industry,11
Industry,14
Other,9
Industry,228
Industry,57
Industry,35
Other,12
Industry,92
Industry,16
Other,5
Industry,169
Industry,6
Industry,18
Industry,73
Industry,130
Other,50
Industry,62
Industry,70
Industry,85
Other,23
Industry,130
Industry,216
Other,5
Other,11
Industry,124
Other,6
Industry,16
Industry,189
Other,235
Industry,389
Other,7
NIH,5
Industry,25
Other,516
Other,22
Other,54
Other,7
NIH,6
Industry,65
Industry,369
Other,74
Other,7
Industry,48
Industry,1381
NIH,79
Industry,6
NIH,787
Industry,121
Other,5
Industry,104
Industry,49
Industry,18
Other,604
Industry,48
Other,52
Industry,17
NIH,46
Industry,102
Industry,19
Industry,129
Industry,44
Industry,185
Industry,97
Industry,36
Industry,76
Industry,2277
Other,460
Other,71
Other,339
Other,15
Industry,363
Industry,289
NIH,40
Other,45
NIH,109
Industry,56
Industry,89
Other,5
Industry,52
Industry,66
Industry,195
Industry,69
Industry,145
Industry,66
Other,17
Industry,16
Industry,24
NIH,82
Industry,40
Other,9
NIH,240
Industry,196
Industry,47
Other,5
Industry,720
Industry,461
Other,76
Industry,168
Industry,36
NIH,27
Other,14
Industry,77
Other,12
Industry,106
Industry,161
Other,5
Other,196
Other,197
Industry,329
NIH,15
Industry,56
Industry,569
Other,12
Other,61
NIH,5
Industry,31
Other,74
Other,15
Industry,45
Industry,68
Other,48
Other,37
Other,142
Industry,157
Industry,67
Industry,64
Industry,18
Industry,273
Other,48
Industry,41
Industry,327
Other,119
Other,53
Other,66
NIH,114
Industry,36
Industry,16
Industry,51
Industry,57
NIH,231
NIH,147
Industry,28
Industry,159
Other,13
Industry,2406
Industry,11
Industry,652
Industry,73
Other,42
Other,39
NIH,27
Other,52
Other,5
Other,12
Other,48
Other,69
Other,64
Industry,100
Industry,11
Industry,39
Other,38
Other,314
Other,20
Other,88
NIH,206
Industry,158
Industry,96
Industry,170
Other,19
Industry,1138
Other,92
Other,34
NIH,20
Industry,129
Other,48
Industry,39
Other,16
Other,50
Industry,116
Industry,196
Other,277
Other,1836
Other,18
Industry,132
Other,116
Industry,10
Other,46
Industry,909
Industry,28
Other,43
Industry,48
Industry,99
Industry,53
Other,146
Industry,33
Industry,42
Other,61
Industry,99
Other,65
Other,100
Industry,20
Industry,86
Industry,31
Industry,18
Other,7
Industry,27
Industry,195
Industry,131
Other,5
Industry,105
Industry,155
Industry,10
Other,120
Other,11
Other,255
Industry,152
NIH,154
Other,95
Other,245
Industry,343
NIH,30
Industry,5
Industry,833
Industry,232
Industry,159
Industry,1175
Industry,145
Other,5
Other,67
Industry,121
Other,1735
Industry,493
Other,5
Industry,228
Industry,506
Industry,190
NIH,12
Industry,361
Industry,60
Other,221
Other,13
Industry,59
Other,57
NIH,41
Other,8
Other,128
Industry,327
Other,6
Industry,32
Industry,54
Other,24
Other,77
Industry,33
Other,78
Industry,31
Other,6
Industry,38
Industry,10
Industry,101
Industry,88
NIH,15
Industry,68
Industry,29
Industry,97
Industry,29
Industry,58
Industry,48
Other,107
Other,32
Industry,282
NIH,11
Industry,40
Other,124
Industry,52
Other,82
Industry,8
Industry,727
Industry,80
Other,305
Industry,217
Industry,78
Industry,170
Other,192
NIH,470
Industry,45
Other,63
Industry,91
Industry,70
Industry,70
Industry,83
Other,229
Industry,73
Other,18
Other,120
Industry,222
Other,682
Industry,79
Industry,58
Industry,236
Industry,94
NIH,16
Industry,154
Industry,187
Industry,139
Industry,29
Industry,436
Industry,274
Industry,133
Industry,455
Industry,184
Other,133
Other,78
Other,199
Other,318
Industry,113
NIH,46
Industry,19
Industry,57
Industry,41
Industry,605
Industry,41
Other,71
Other,341
Industry,85
Industry,90
Other,246
Industry,70
Industry,81
Industry,29
Other,44
Industry,1410
Other,5
Industry,45
Industry,151
Industry,17
Industry,65
Other,328
Industry,137
Other,96
Industry,40
Other,65
Industry,10
Other,34
Industry,269
Industry,33
Other,13
Industry,73
Industry,5
Industry,202
Industry,97
Other,14
Industry,396
Other,34
Industry,21
Industry,52
Other,40
Other,311
Other,5
Industry,52
NIH,102
Industry,311
Industry,213
Other,28
Industry,48
Other,5
Industry,273
Other,40
Industry,170
Other,358
Industry,140
Industry,46
Other,20
Industry,319
Other,111
Industry,66
Industry,33
Industry,655
Other,77
Industry,55
Industry,90
Industry,16
Other,7
Industry,195
Industry,748
Other,17
Industry,158
Other,243
Other,44
NIH,24
NIH,174
Industry,75
Industry,34
Industry,83
Other,8
Industry,36
Industry,25
Industry,96
Industry,26
Other,63
Industry,34
Other,79
Other,54
Industry,162
Industry,57
Industry,80
Industry,277
Other,27
Industry,291
Industry,56
Industry,334
Industry,51
Other,54
Other,391
Other,15
Industry,20
NIH,24
Other,10
NIH,296
Other,5
Industry,56
Other,425
Other,56
Other,403
Industry,23
Industry,5
Industry,27
Other,625
Other,21
Other,23
NIH,57
Industry,45
Other,10
Industry,1267
Other,75
Other,71
Industry,116
Industry,84
Industry,51
Industry,230
Other,637
Other,39
Other,5
Other,1042
Industry,280
NIH,25
Industry,48
Industry,21
Industry,142
Industry,48
Other,76
Other,111
Other,100
Industry,82
Other,47
Industry,58
Other,323
Industry,82
Other,30
Industry,113
Other,54
Other,18
Industry,218
Other,18
NIH,248
Other,28
Industry,210
Industry,274
Other,20
NIH,13
Other,114
Industry,302
Industry,104
Other,19
Industry,220
Other,45
NIH,11
Other,108
Other,109
Other,86
Other,23
Industry,43
Industry,306
Other,642
Other,41
Other,155
Industry,122
Other,92
Other,1540
Industry,16
Industry,170
Industry,32
Other,17
NIH,225
Industry,242
Industry,28
Industry,39
Other,129
Industry,59
NIH,67
Other,10
Industry,46
Other,93
Other,99
Industry,291
Other,131
Industry,289
Other,10
Industry,464
Industry,120
Industry,182
Other,14
Industry,317
Industry,256
Industry,121
Industry,157
NIH,195
Industry,337
Industry,58
Other,24
Other,18
Other,82
Industry,5
Other,36
NIH,47
Industry,271
Industry,37
NIH,28
Other,21
Other,9
Industry,70
Industry,46
Other,31
Industry,265
Other,2593
Industry,28
Other,28
Other,43
Industry,74
Industry,14
Industry,256
Other,113
Other,55
Other,58
Industry,67
Other,35
Industry,626
Other,75
NIH,124
Industry,232
Other,25
Other,50
Industry,115
Industry,93
Industry,67
Industry,89
NIH,140
Industry,116
Other,571
Industry,87
Other,14
Other,20
Industry,31
Other,5
Industry,39
Industry,203
Other,7
Other,64
Other,63
Other,55
NIH,253
Industry,2290
Other,570
Other,7
Industry,60
Industry,42
Industry,64
Industry,879
Other,217
Industry,55
Other,7
Industry,838
Industry,118
NIH,44
Industry,19
Industry,158
Industry,461
Industry,317
Industry,7
Industry,50
Other,184
Other,136
Industry,22
Other,330
Industry,68
Other,120
Other,66
Industry,168
Industry,43
Other,85
Industry,91
Other,36
Industry,140
NIH,496
Industry,404
Other,176
Industry,110
Industry,66
Other,21
Industry,295
Industry,70
Industry,205
Other,11
Industry,205
Other,135
Other,51
Industry,10
NIH,77
Industry,955
Industry,83
Other,70
Industry,423
Other,95
Other,26
Other,312
Industry,481
Other,342
Industry,37
Industry,52
Other,22
Other,24
Industry,920
Industry,31
Industry,185
Industry,77
Industry,418
Industry,610
Other,24
Other,33
Industry,120
Other,134
Industry,814
Industry,90
Industry,129
Other,7
Other,64
Other,5
Other,643
NIH,67
Industry,53
Other,93
NIH,53
NIH,20
Industry,21
Industry,36
Industry,178
Other,125
Industry,33
NIH,88
Other,170
NIH,392
Industry,119
Industry,58
Other,376
Industry,37
Industry,59
Industry,401
NIH,25
Industry,50
NIH,5
Other,114
Other,95
Industry,19
Industry,30
Other,97
Industry,10
Industry,10
Industry,22
Other,57
Other,29
NIH,159
Industry,13
Other,36
Industry,69
Industry,34
Other,76
Other,229
Industry,83
Industry,541
Other,50
Industry,240
Industry,117
Other,43
Other,112
Industry,62
Other,9
Other,60
Other,161
Industry,18
Other,12
Industry,22
Other,6
Industry,145
Other,55
Industry,51
Industry,56
Industry,126
Other,255
Industry,55
NIH,8
Other,14
Industry,705
Industry,192
Industry,69
NIH,14
Other,8
Other,1127
Industry,67
Industry,42
Industry,62
Industry,193
Other,165
Other,9
Other,140
Other,215
Industry,154
Other,37
Industry,84
Industry,85
Industry,56
Industry,278
Industry,420
NIH,20
Industry,27
Industry,636
Industry,67
Industry,67
Industry,18
Industry,149
Industry,27
Industry,40
Industry,67
Industry,252
Other,37
Industry,344
Industry,652
Industry,273
Other,85
Industry,29
Other,69
Industry,178
Industry,108
Industry,88
Industry,73
Industry,17
Other,26
Industry,80
Industry,48
Other,33
NIH,52
Industry,43
Other,49
Industry,75
Other,19
NIH,30
Other,34
Other,6
NIH,65
Other,6
Other,41
Industry,755
Industry,219
Other,56
Industry,168
Other,25
Industry,276
NIH,162
Industry,81
Other,16
Industry,82
Industry,44
Other,79
Other,4095
Other,5
Other,6
Industry,479
Other,27
Industry,152
Other,10
Other,15
Other,102
Industry,38
Industry,132
Other,20
Industry,1351
Industry,140
Industry,1032
Other,15
Other,19
Industry,129
Other,772
Industry,249
NIH,90
Industry,95
NIH,614
Other,3257
Other,23
Industry,41
NIH,16
Industry,113
Industry,82
Other,13
Other,14
Industry,115
Other,39
Industry,36
NIH,464
Other,78
Other,30
Industry,35
Industry,20
Other,89
Industry,58
Industry,225
Other,22
Industry,54
Industry,98
Other,444
Industry,39
Other,75
Industry,132
Other,82
Industry,94
Industry,87
Other,117
Other,22
Other,17
NIH,129
Other,368
Industry,174
Other,56
Other,49
Industry,32
Industry,71
Industry,27
Other,156
Other,31
Other,34
Industry,150
Other,7
Other,13
Industry,246
Other,30
Other,98
Other,38
Industry,111
Other,12
Other,15
Industry,40
Industry,48
Industry,465
Other,44
Industry,137
Other,9
Other,67
Industry,84
Industry,165
Other,68
Industry,230
Industry,7
Industry,26
Other,55
Other,40
Other,90
Other,39
Other,51
Industry,167
Industry,35
Industry,249
Other,103
Industry,140
Industry,117
Other,14
Other,36
Other,16
Other,5
Industry,313
Other,404
Other,116
Industry,38
Industry,74
Industry,222
Other,59
Industry,111
Industry,125
Other,86
Industry,199
Other,76
NIH,62
Industry,63
Other,64
Industry,282
Industry,697
Industry,223
Other,122
Other,102
Other,121
Industry,128
Industry,32
Other,30
Industry,106
Other,37
Industry,12
Industry,118
Industry,215
Other,238
Industry,84
Industry,26
Other,13
Industry,100
Other,27
Industry,2081
Other,59
Other,27
Industry,11
Industry,32
Industry,129
Other,30
Other,364
Other,51
NIH,55
Other,16
Industry,106
Other,18
Other,7
Other,1275
Other,553
Industry,53
Industry,411
Industry,225
NIH,13
Other,25
Other,8
Other,26
NIH,22
Industry,136
Other,55
Industry,122
Other,35
Industry,169
Industry,32
Other,34
Other,17
Industry,329
Industry,61
Industry,64
Other,5
Other,54
Other,51
Industry,82
Other,11
Industry,120
Other,25
Other,27
Other,406
Industry,304
Industry,5
Other,133
Other,56
Other,80
Other,55
Other,5
Other,18
Industry,53
Other,107
Industry,19
Industry,83
Industry,85
Industry,5
Other,45
Industry,18
Other,23
Industry,45
Industry,42
Industry,67
Other,5
Other,19
Industry,27
Industry,143
Industry,24
Industry,244
Industry,185
Other,42
Industry,362
Other,41
Other,103
Industry,99
Industry,100
Industry,22
Industry,175
Other,76
Industry,60
Industry,349
Industry,34
Industry,381
Industry,97
Industry,374
NIH,53
Other,14
Industry,101
Industry,84
Other,184
Industry,233
Industry,327
Industry,303
Industry,31
Industry,41
Industry,30
Other,21
Industry,135
Other,156
Industry,11
Industry,7
Industry,31
Industry,51
Industry,104
Other,83
Industry,17
Industry,44
Other,22
Other,587
Industry,123
Industry,83
Other,209
Other,17
Other,93
Industry,146
Industry,20
Industry,134
Other,16
Industry,36
Other,32
Industry,342
Industry,379
Industry,204
Other,6
Other,54
Other,87
Industry,254
Other,54
Industry,317
Other,56
Other,38
Industry,26
Other,37
Industry,7
Industry,41
Other,597
NIH,105
Other,157
Industry,100
Industry,203
Industry,17
Other,10
Other,103
Other,16
Industry,32
Industry,93
Industry,66
NIH,61
Industry,226
Industry,39
Industry,61
Industry,156
Industry,121
Other,55
Industry,48
Industry,144
NIH,27
Industry,73
Industry,51
Industry,13
Other,54
Industry,94
Other,24
Other,51
Other,411
Other,5
Industry,289
Industry,54
Other,768
Industry,41
Industry,140
Other,72
Industry,102
Other,82
Other,59
Industry,120
Other,6
Other,33
Industry,139
Other,106
Other,20
Industry,260
Industry,287
Industry,95
Industry,244
Industry,48
Other,18
Industry,38
Industry,222
Other,204
Industry,302
Industry,32
Other,346
Industry,21
Other,11
Other,73
Industry,254
Other,106
Other,5
Industry,322
Industry,10
Other,30
Industry,872
Industry,255
Industry,139
Industry,37
Industry,32
Industry,483
Other,51
Industry,35
Other,520
Industry,204
Industry,27
Industry,73
Other,208
Industry,415
Industry,120
Other,8
Other,417
Industry,171
Industry,142
Industry,26
Other,224
Industry,8
Other,327
Industry,86
Other,79
Industry,9
Other,29
Industry,125
Industry,90
Industry,213
Other,60
Other,309
Other,39
Other,252
Other,368
Other,17
NIH,526
Industry,13
Other,94
Industry,62
Other,73
Other,7
Industry,220
Industry,430
Other,39
Industry,73
Industry,40
Industry,15
NIH,16
Other,81
Industry,89
Industry,342
Other,275
Industry,679
Industry,39
Industry,184
Other,14
Industry,227
Industry,138
Industry,155
Other,18
Other,126
Other,55
Other,593
Other,39
Other,42
Industry,45
Industry,206
Other,13
Industry,49
Industry,142
Industry,15
Industry,98
Other,127
Industry,74
Other,41
Other,51
Industry,32
Industry,104
Industry,83
Industry,646
NIH,159
Industry,73
Other,26
Industry,1575
NIH,10
Other,103
Industry,112
Other,118
Industry,81
Industry,52
Industry,158
Other,66
Industry,221
Industry,28
Industry,141
Other,22
NIH,369
Other,11
Industry,101
Industry,40
Other,33
Other,98
Industry,12
NIH,5
Industry,516
Industry,338
Industry,176
Other,5
Industry,9
Industry,94
Industry,179
Other,36
Other,74
Industry,80
Other,43
NIH,122
Industry,63
Industry,139
NIH,779
Industry,32
Industry,12
Industry,32
Other,35
Other,855
Industry,10
Industry,92
Other,72
Industry,35
Industry,1729
Other,30
Other,147
Industry,3487
Industry,48
Other,56
Other,5
Industry,331
Other,224
Industry,244
Other,46
Other,229
Other,43
Industry,172
Other,64
NIH,561
Other,65
Other,113
Other,218
Other,81
Industry,45
Industry,49
NIH,17
Industry,92
Industry,141
Industry,67
Other,30
Industry,62
Industry,47
NIH,776
Industry,218
Other,94
Other,65
Other,182
Industry,57
NIH,13
Other,43
Other,173
Other,26
Industry,471
Industry,173
Industry,189
Industry,34
Other,226
Industry,27
Industry,64
Industry,110
Other,11
Industry,50
Industry,330
Other,51
Other,145
NIH,99
Industry,233
Industry,352
Industry,617
Industry,151
Industry,61
Other,40
Other,18
Industry,433
Industry,113
Industry,75
Industry,105
Other,461
Industry,29
Other,167
Other,67
Other,53
Industry,216
Other,8
Industry,5
Industry,32
Other,130
Industry,104
Other,257
Other,50
Industry,81
Industry,520
Industry,84
Industry,47
NIH,9
Industry,82
Industry,74
Industry,7
Industry,29
Industry,113
Other,160
Industry,5
Other,43
Industry,216
Industry,292
Industry,80
Other,117
Other,24
Industry,7
Industry,579
Other,24
Industry,215
Industry,83
Other,50
Other,44
Other,656
Other,122
Other,216
Other,101
Industry,205
Industry,29
Other,78
Industry,32
Industry,17
Industry,25
Industry,204
Industry,20
Other,28
Industry,289
Other,19
NIH,23
Other,67
Other,1161
Industry,70
Other,335
Industry,24
Industry,284
Industry,66
NIH,8
Other,100
Industry,109
Industry,16
Industry,8
Industry,135
Industry,85
Other,31
Industry,395
Other,37
Industry,71
Other,35
Industry,43
NIH,126
Industry,988
NIH,11
Industry,119
Industry,25
Other,33
Industry,97
Industry,240
Industry,69
Other,109
Industry,34
NIH,6
Other,25
Other,46
Other,70
Other,23
Industry,62
Other,37
Other,166
Industry,77
Industry,243
Industry,68
NIH,29
Industry,86
Industry,381
Other,73
Other,26
Industry,91
Other,15
Industry,42
Other,224
Other,5
Industry,78
Other,426
Industry,1733
Industry,20
Industry,33
Industry,47
Industry,102
Industry,39
Industry,1004
Industry,17
Industry,126
Industry,682
Industry,31
Industry,101
Other,77
Other,194
Industry,67
Other,87
Other,40
Industry,28
Other,121
NIH,987
Industry,227
Industry,310
Other,28
Other,463
Industry,184
Industry,42
Industry,11
Industry,57
Other,103
Other,27
Industry,140
Other,597
Other,15
Industry,92
Other,31
Industry,679
Other,7
Industry,791
Industry,5
NIH,56
Other,182
Other,17
Other,42
Industry,133
Industry,253
Other,116
Industry,93
Other,148
Industry,87
Industry,58
NIH,41
Industry,98
Other,1396
Industry,108
Other,51
Industry,48
Other,41
Industry,192
NIH,21
Industry,25
Industry,85
Industry,151
Other,1808
Industry,47
Industry,42
Industry,9
Industry,144
Industry,308
Industry,259
Industry,64
Industry,16
Industry,68
Industry,196
Industry,54
Industry,5
Other,39
Other,119
Industry,89
Industry,153
Industry,384
Industry,345
Other,34
Other,22
Industry,53
Industry,14
NIH,75
Other,45
Industry,42
Other,88
NIH,26
Other,15
Industry,248
Industry,188
Other,45
Industry,5
NIH,585
Other,217
NIH,409
Industry,39
Other,103
Industry,132
Industry,98
Other,36
Industry,212
Industry,46
Industry,45
Other,20
Industry,230
Industry,146
Industry,56
Industry,864
Other,22
Other,47
Other,44
Industry,23
Other,45
Other,112
Industry,66
Other,353
Other,11
Other,38
Other,20
Industry,27
Other,148
Other,68
Other,15
Industry,9
Industry,45
Industry,322
Other,172
Industry,178
Industry,45
Industry,18
Industry,164
Industry,63
Industry,200
Other,50
Industry,662
Other,164
Other,35
Other,497
Industry,93
Other,20
Other,231
Industry,23
Other,6
Industry,211
Industry,97
Industry,14
Industry,51
Other,126
NIH,172
Other,58
Other,27
Other,64
Other,1024
Other,5
Industry,56
Industry,259
Other,84
NIH,661
Industry,211
Other,37
Other,5
Other,254
Other,32
Other,897
Industry,532
Industry,45
Industry,79
Industry,71
Industry,32
Industry,12
Industry,69
Other,46
Other,52
Industry,18
Industry,100
Industry,26
NIH,19
Other,58
Industry,185
Other,128
Industry,68
Other,36
NIH,46
Other,10
Industry,17
Other,330
Other,22
Industry,72
Other,27
Industry,853
Other,462
Industry,268
Industry,61
Other,5
Industry,69
Industry,481
Industry,1417
Industry,23
Industry,473
Other,640
Other,31
Other,13
Other,23
Other,38
Other,130
Other,60
Other,22
Industry,37
Other,35
Industry,56
Industry,492
Other,63
Industry,45
Industry,16
Industry,112
Other,102
Other,32
Industry,35
Other,10
Industry,337
Industry,105
Industry,283
Industry,681
Other,5
Industry,92
Industry,67
Other,94
Industry,144
Industry,95
Industry,61
Other,200
Industry,81
Industry,85
Industry,48
Other,51
NIH,10
Other,45
Industry,171
Other,68
Other,47
Other,13
Industry,108
Industry,134
Industry,35
Industry,106
Industry,1609
Other,92
Industry,237
Other,31
NIH,129
Industry,181
Other,158
Other,11
Other,83
Other,67
Industry,82
Other,308
NIH,66
NIH,95
Other,116
Industry,46
NIH,16
Other,43
Other,137
Other,59
Industry,216
Industry,24
Industry,16
Industry,58
Industry,32
Industry,103
Industry,83
Industry,102
Other,107
Other,206
Industry,41
Industry,345
Other,38
Other,5
Industry,147
Other,29
Industry,52
Other,37
Other,14
Industry,55
Industry,182
Other,126
Other,26
Industry,338
Industry,94
Industry,168
Other,203
Other,88
Other,76
Industry,67
Industry,108
Other,27
Industry,130
Industry,38
Other,55
Industry,22
Industry,5
Other,283
NIH,149
NIH,65
Industry,59
Industry,75
Industry,51
Industry,21
Industry,170
Other,106
Industry,435
Other,5
Other,65
Industry,19
Industry,52
Industry,54
Other,128
NIH,45
Industry,26
Industry,83
Industry,315
Industry,17
Other,21
Other,5
Industry,91
Other,17
Other,38
Industry,46
Industry,260
Other,10
Industry,37
Industry,75
Other,8
Other,202
Industry,425
Other,5
Industry,347
Industry,25
NIH,325
Other,55
Other,13
Industry,132
Other,51
Other,20
Other,7
Other,65
Other,69
Industry,367
Industry,27
Industry,271
Other,63
Industry,153
Industry,19
Industry,21
Industry,65
Industry,49
Other,175
Other,25
Other,22
Industry,35
Industry,37
Other,11
Other,66
Other,46
Industry,73
Industry,15
Industry,155
Industry,499
Industry,146
Industry,42
Other,96
Industry,71
Industry,57
Other,399
Other,98
NIH,149
Industry,523
Other,25
NIH,8
Industry,170
Industry,151
Industry,87
Other,53
Industry,11
Industry,29
Other,228
Other,32
Industry,25
Other,173
Industry,89
Other,12
Other,32
Industry,41
Industry,436
Other,82
Industry,12
Industry,10
Other,51
Other,73
Other,159
Other,252
Industry,10
Other,8
Other,50
Industry,55
Industry,253
Other,209
Industry,1058
Other,25
Other,10
Industry,43
Other,21
Industry,10
Other,102
Industry,36
Industry,52
Industry,211
Industry,349
Other,41
Other,32
NIH,12
NIH,17
NIH,23
Industry,23
Industry,18
Industry,8
Other,351
Other,46
Other,16
Industry,171
Industry,149
Other,118
Other,68
Other,38
Industry,116
Other,5
Industry,156
Industry,86
Industry,17
Industry,84
Industry,304
Industry,26
Industry,134
Industry,72
Other,802
Industry,59
Industry,56
Industry,22
Other,17
Other,183
Industry,241
NIH,100
Industry,204
Other,14
Industry,446
Industry,282
Industry,558
Other,43
Industry,54
Other,108
Industry,381
Other,5
Industry,282
Other,114
Industry,376
Other,55
Industry,27
Other,34
Industry,36
Other,50
Industry,71
Other,27
Other,132
Industry,163
NIH,190
Other,365
Other,9
Industry,51
Other,21
Industry,938
Industry,238
Industry,211
Industry,5
Industry,66
Industry,51
Industry,1224
NIH,6
Industry,36
NIH,6
Other,21
Other,21
Other,84
Other,105
NIH,8
Industry,94
Industry,596
Other,6
Other,82
Other,7
Other,13
Other,119
Other,97
Industry,77
Industry,44
Other,71
Industry,106
Other,34
Other,81
Industry,45
Industry,146
Industry,68
NIH,32
Other,20
Industry,12
Other,231
Industry,337
Industry,37
Other,29
Industry,257
Industry,127
Industry,13
Industry,594
Other,5
Industry,29
Other,191
Industry,248
Industry,102
Industry,440
NIH,16
Other,24
Other,306
Other,69
Other,18
Industry,1559
Other,12
Industry,182
NIH,35
Industry,196
Industry,100
Industry,43
Other,503
Other,290
Industry,292
Other,19
Industry,209
Industry,52
Industry,214
Other,172
Industry,36
NIH,358
Industry,40
Industry,29
Industry,195
Industry,304
Industry,78
Industry,186
Other,215
Other,6
Other,395
Other,209
Other,32
NIH,52
Other,44
Industry,14
Industry,22
Other,14
Other,70
Industry,47
Other,10
Industry,95
Other,19
Industry,98
Industry,75
Industry,28
Other,90
Other,105
Other,502
Other,10
Industry,80
Other,37
NIH,82
Industry,28
Other,32
Other,13
Industry,111
Other,281
Industry,38
Other,74
Industry,121
NIH,12
Other,125
Industry,152
Industry,182
NIH,39
Industry,143
Industry,73
Industry,216
Industry,544
Industry,110
Other,39
