group,duration_days
Terminated/Withdrawn,411.0
Completed,490.0
Terminated/Withdrawn,334.0
Terminated/Withdrawn,420.0
Terminated/Withdrawn,418.0
Completed,837.0
Completed,781.0
Completed,986.0
Completed,688.0
Terminated/Withdrawn,164.0
Completed,650.0
Completed,636.0
Terminated/Withdrawn,382.0
Completed,760.0
Completed,592.0
Completed,636.0
Completed,615.0
Terminated/Withdrawn,338.0
Completed,750.0
Terminated/Withdrawn,675.0
Completed,607.0
Completed,7.0
Completed,868.0
Completed,1087.0
Completed,1161.0
Completed,224.0
Completed,500.0
Completed,1003.0
Completed,1763.0
Completed,1074.0
Terminated/Withdrawn,236.0
Terminated/Withdrawn,233.0
Completed,1123.0
Terminated/Withdrawn,151.0
Terminated/Withdrawn,512.0
Completed,1189.0
Completed,856.0
Completed,532.0
Completed,507.0
Completed,703.0
Completed,604.0
Completed,1014.0
Completed,500.0
Completed,595.0
Completed,1411.0
Completed,596.0
Completed,85.0
Completed,1048.0
Completed,1440.0
Completed,916.0
Completed,869.0
Completed,835.0
Terminated/Withdrawn,457.0
Terminated/Withdrawn,484.0
Completed,718.0
Completed,788.0
Completed,771.0
Terminated/Withdrawn,244.0
Completed,840.0
Terminated/Withdrawn,195.0
Completed,771.0
Completed,966.0
Terminated/Withdrawn,280.0
Completed,1522.0
Completed,949.0
Completed,686.0
Completed,354.0
Completed,858.0
Completed,692.0
Completed,748.0
Terminated/Withdrawn,340.0
Completed,404.0
Completed,796.0
Terminated/Withdrawn,169.0
Completed,1324.0
Completed,570.0
Completed,662.0
Completed,935.0
Completed,613.0
Terminated/Withdrawn,482.0
Completed,496.0
Terminated/Withdrawn,250.0
Terminated/Withdrawn,306.0
Terminated/Withdrawn,262.0
Completed,740.0
Completed,1307.0
Completed,954.0
Completed,1689.0
Completed,477.0
Terminated/Withdrawn,300.0
Terminated/Withdrawn,432.0
Completed,1041.0
Terminated/Withdrawn,426.0
Completed,857.0
Completed,45.0
Terminated/Withdrawn,383.0
Completed,1167.0
Completed,1102.0
Completed,729.0
Terminated/Withdrawn,163.0
Terminated/Withdrawn,286.0
Terminated/Withdrawn,346.0
Completed,821.0
Completed,819.0
Completed,687.0
Terminated/Withdrawn,479.0
Completed,655.0
Completed,418.0
Completed,971.0
Completed,1350.0
Completed,747.0
Terminated/Withdrawn,358.0
Completed,8.0
Terminated/Withdrawn,331.0
Completed,963.0
Completed,4.0
Completed,1001.0
Completed,791.0
Completed,1013.0
Completed,647.0
Completed,1489.0
Terminated/Withdrawn,188.0
Completed,720.0
Completed,739.0
Completed,452.0
Terminated/Withdrawn,404.0
Completed,874.0
Completed,1124.0
Terminated/Withdrawn,178.0
Completed,758.0
Completed,1834.0
Completed,572.0
Completed,890.0
Completed,544.0
Completed,910.0
Completed,578.0
Completed,787.0
Completed,499.0
Completed,1034.0
Completed,685.0
Completed,1039.0
Terminated/Withdrawn,129.0
Completed,564.0
Terminated/Withdrawn,217.0
Terminated/Withdrawn,391.0
Completed,916.0
Completed,734.0
Completed,660.0
Completed,1090.0
Completed,1140.0
Completed,900.0
Completed,1108.0
Completed,669.0
Terminated/Withdrawn,217.0
Completed,1244.0
Completed,869.0
Completed,1509.0
Completed,724.0
Completed,506.0
Completed,837.0
Terminated/Withdrawn,147.0
Completed,735.0
Completed,879.0
Completed,687.0
Completed,1079.0
Completed,839.0
Completed,141.0
Terminated/Withdrawn,366.0
Completed,1664.0
Completed,794.0
Completed,352.0
Completed,699.0
Completed,1050.0
Terminated/Withdrawn,596.0
Terminated/Withdrawn,446.0
Completed,311.0
Completed,1268.0
Completed,870.0
Completed,614.0
Completed,957.0
Completed,530.0
Terminated/Withdrawn,259.0
Completed,1063.0
Completed,1240.0
Completed,860.0
Terminated/Withdrawn,661.0
Completed,1051.0
Completed,642.0
Terminated/Withdrawn,589.0
Completed,1403.0
Completed,710.0
Completed,883.0
Completed,216.0
Completed,628.0
Completed,1187.0
Completed,780.0
Completed,241.0
Completed,916.0
Terminated/Withdrawn,150.0
Completed,907.0
Completed,572.0
Completed,857.0
Completed,901.0
Completed,482.0
Completed,1291.0
Completed,864.0
Completed,718.0
Completed,660.0
Completed,795.0
Completed,636.0
Terminated/Withdrawn,204.0
Completed,612.0
Terminated/Withdrawn,196.0
Completed,898.0
Completed,706.0
Completed,643.0
Completed,861.0
Completed,686.0
Completed,1119.0
Completed,681.0
Terminated/Withdrawn,363.0
Completed,1280.0
Completed,1220.0
Completed,667.0
Completed,1069.0
Completed,675.0
Completed,1147.0
Completed,817.0
Completed,571.0
Completed,337.0
Completed,1060.0
Completed,458.0
Terminated/Withdrawn,299.0
Completed,476.0
Completed,1052.0
Completed,992.0
Completed,860.0
Completed,1166.0
Completed,516.0
Terminated/Withdrawn,243.0
Completed,816.0
Completed,556.0
Completed,516.0
Completed,1090.0
Completed,955.0
Completed,428.0
Completed,1188.0
Completed,783.0
Completed,696.0
Completed,726.0
Completed,1025.0
Terminated/Withdrawn,229.0
Completed,666.0
Completed,1431.0
Terminated/Withdrawn,214.0
Terminated/Withdrawn,161.0
Completed,741.0
Terminated/Withdrawn,558.0
Completed,1012.0
Completed,1181.0
Completed,584.0
Completed,499.0
Terminated/Withdrawn,221.0
Completed,938.0
Completed,517.0
Terminated/Withdrawn,339.0
Completed,1022.0
Completed,1315.0
Completed,1180.0
Completed,82.0
Terminated/Withdrawn,470.0
Completed,681.0
Terminated/Withdrawn,184.0
Completed,666.0
Completed,837.0
Completed,779.0
Completed,1109.0
Completed,905.0
Completed,730.0
Completed,615.0
Completed,1248.0
Terminated/Withdrawn,309.0
Completed,617.0
Completed,664.0
Terminated/Withdrawn,169.0
Terminated/Withdrawn,252.0
Terminated/Withdrawn,307.0
Completed,1213.0
Completed,742.0
Terminated/Withdrawn,362.0
Completed,168.0
Completed,624.0
Completed,602.0
Completed,818.0
Completed,713.0
Completed,419.0
Completed,1197.0
Completed,808.0
Completed,680.0
Completed,746.0
Terminated/Withdrawn,356.0
Completed,494.0
Completed,810.0
Completed,968.0
Completed,1025.0
Completed,937.0
Completed,723.0
Completed,1038.0
Completed,828.0
Terminated/Withdrawn,157.0
Completed,300.0
Completed,858.0
Completed,990.0
Completed,1259.0
Completed,854.0
Completed,600.0
Terminated/Withdrawn,784.0
Completed,548.0
Completed,867.0
Completed,618.0
Completed,40.0
Terminated/Withdrawn,552.0
Terminated/Withdrawn,248.0
Terminated/Withdrawn,216.0
Terminated/Withdrawn,395.0
Completed,392.0
Completed,1093.0
Completed,388.0
Completed,792.0
Terminated/Withdrawn,335.0
Completed,1166.0
Completed,178.0
Completed,739.0
Completed,1057.0
Terminated/Withdrawn,426.0
Completed,345.0
Completed,738.0
Terminated/Withdrawn,405.0
Completed,487.0
Terminated/Withdrawn,202.0
Completed,837.0
Completed,729.0
Completed,598.0
Completed,1015.0
Completed,833.0
Completed,857.0
Terminated/Withdrawn,475.0
Completed,949.0
Completed,1133.0
Completed,917.0
Terminated/Withdrawn,227.0
Terminated/Withdrawn,395.0
Completed,1315.0
Completed,745.0
Completed,1209.0
Completed,588.0
Completed,443.0
Completed,982.0
Completed,1065.0
Completed,650.0
Completed,1197.0
Completed,77.0
Completed,766.0
Terminated/Withdrawn,863.0
Completed,1114.0
Completed,835.0
Completed,715.0
Completed,826.0
Completed,991.0
Completed,867.0
Completed,1239.0
Completed,914.0
Completed,1140.0
Terminated/Withdrawn,320.0
Terminated/Withdrawn,523.0
Completed,604.0
Completed,1098.0
Terminated/Withdrawn,110.0
Completed,1310.0
Completed,140.0
Terminated/Withdrawn,272.0
Terminated/Withdrawn,261.0
Terminated/Withdrawn,103.0
Completed,675.0
Completed,811.0
Completed,1087.0
Terminated/Withdrawn,282.0
Completed,764.0
Completed,555.0
Completed,761.0
Terminated/Withdrawn,285.0
Completed,1191.0
Completed,306.0
Completed,606.0
Completed,991.0
Completed,1138.0
Terminated/Withdrawn,263.0
Completed,767.0
Completed,635.0
Completed,642.0
Completed,996.0
Completed,882.0
Terminated/Withdrawn,264.0
Completed,823.0
Terminated/Withdrawn,324.0
Completed,644.0
Completed,431.0
Terminated/Withdrawn,452.0
Completed,925.0
Terminated/Withdrawn,673.0
Terminated/Withdrawn,595.0
Completed,1464.0
Completed,476.0
Completed,670.0
Completed,922.0
Completed,624.0
Terminated/Withdrawn,406.0
Completed,901.0
Completed,514.0
Completed,715.0
Completed,1402.0
Completed,537.0
Terminated/Withdrawn,357.0
Completed,1328.0
Completed,1046.0
Completed,570.0
Completed,501.0
Completed,1298.0
Completed,583.0
Terminated/Withdrawn,369.0
Completed,629.0
Completed,787.0
Completed,1133.0
Terminated/Withdrawn,487.0
Completed,1490.0
Completed,1281.0
Completed,988.0
Completed,597.0
Completed,718.0
Completed,848.0
Terminated/Withdrawn,233.0
Completed,1367.0
Completed,1229.0
Completed,481.0
Completed,641.0
Completed,997.0
Completed,1171.0
Completed,848.0
Completed,833.0
Completed,944.0
Completed,484.0
Completed,646.0
Completed,599.0
Completed,906.0
Completed,10.0
Completed,1238.0
Completed,719.0
Terminated/Withdrawn,271.0
Completed,654.0
Terminated/Withdrawn,456.0
Completed,1028.0
Completed,870.0
Completed,738.0
Completed,665.0
Completed,939.0
Completed,742.0
Terminated/Withdrawn,444.0
Completed,1069.0
Completed,625.0
Terminated/Withdrawn,466.0
Completed,533.0
Completed,1531.0
Terminated/Withdrawn,73.0
Completed,885.0
Completed,1116.0
Completed,681.0
Completed,1400.0
Completed,4.0
Completed,644.0
Completed,1082.0
Completed,516.0
Completed,1102.0
Terminated/Withdrawn,279.0
Completed,755.0
Completed,784.0
Completed,768.0
Completed,517.0
Terminated/Withdrawn,465.0
Completed,1043.0
Completed,744.0
Terminated/Withdrawn,114.0
Completed,688.0
Completed,1035.0
Completed,285.0
Completed,1069.0
Completed,552.0
Terminated/Withdrawn,329.0
Completed,1091.0
Completed,885.0
Completed,640.0
Completed,446.0
Completed,484.0
Completed,1290.0
Completed,644.0
Completed,828.0
Terminated/Withdrawn,544.0
Completed,734.0
Completed,1192.0
Completed,734.0
Completed,1046.0
Terminated/Withdrawn,235.0
Completed,861.0
Completed,619.0
Completed,1054.0
Completed,1229.0
Completed,801.0
Completed,603.0
Terminated/Withdrawn,935.0
Terminated/Withdrawn,366.0
Terminated/Withdrawn,22.0
Completed,820.0
Terminated/Withdrawn,232.0
Completed,660.0
Completed,1321.0
Completed,1208.0
Completed,626.0
Completed,834.0
Completed,828.0
Completed,904.0
Completed,858.0
Terminated/Withdrawn,363.0
Completed,694.0
Terminated/Withdrawn,298.0
Completed,894.0
Completed,733.0
Completed,728.0
Terminated/Withdrawn,207.0
Completed,252.0
Terminated/Withdrawn,163.0
Completed,863.0
Completed,157.0
Terminated/Withdrawn,195.0
Terminated/Withdrawn,226.0
Completed,597.0
Completed,221.0
Completed,1142.0
Terminated/Withdrawn,298.0
Terminated/Withdrawn,580.0
Completed,786.0
Completed,710.0
Completed,554.0
Completed,1183.0
Completed,512.0
Completed,919.0
Completed,841.0
Completed,678.0
Completed,1478.0
Terminated/Withdrawn,225.0
Terminated/Withdrawn,318.0
Terminated/Withdrawn,240.0
Terminated/Withdrawn,532.0
Completed,901.0
Completed,588.0
Completed,805.0
Completed,974.0
Completed,861.0
Completed,142.0
Completed,683.0
Terminated/Withdrawn,350.0
Terminated/Withdrawn,290.0
Completed,965.0
Terminated/Withdrawn,481.0
Completed,554.0
Terminated/Withdrawn,226.0
Completed,85.0
Completed,612.0
Completed,841.0
Terminated/Withdrawn,170.0
Completed,842.0
Completed,664.0
Completed,790.0
Completed,530.0
Terminated/Withdrawn,259.0
Terminated/Withdrawn,527.0
Completed,1504.0
Completed,812.0
Completed,823.0
Completed,1120.0
Completed,930.0
Completed,158.0
Completed,925.0
Completed,1222.0
Completed,981.0
Completed,999.0
Terminated/Withdrawn,862.0
Completed,1147.0
Completed,925.0
Completed,765.0
Completed,1260.0
Terminated/Withdrawn,337.0
Completed,697.0
Completed,752.0
Terminated/Withdrawn,398.0
Completed,1434.0
Terminated/Withdrawn,175.0
Completed,1259.0
Completed,685.0
Terminated/Withdrawn,485.0
Terminated/Withdrawn,167.0
Completed,573.0
Completed,923.0
Terminated/Withdrawn,323.0
Completed,923.0
Completed,668.0
Completed,191.0
Completed,488.0
Completed,971.0
Terminated/Withdrawn,270.0
Completed,565.0
Completed,1063.0
Terminated/Withdrawn,466.0
Completed,910.0
Completed,637.0
Completed,758.0
Completed,1219.0
Completed,262.0
Completed,1064.0
Completed,499.0
Completed,952.0
Completed,651.0
Completed,1073.0
Completed,808.0
Completed,889.0
Completed,843.0
Completed,1314.0
Completed,1009.0
Completed,857.0
Completed,915.0
Completed,965.0
Completed,680.0
Completed,611.0
Completed,590.0
Terminated/Withdrawn,1042.0
Terminated/Withdrawn,120.0
Completed,597.0
Completed,396.0
Completed,976.0
Completed,786.0
Completed,784.0
Completed,1088.0
Completed,775.0
Completed,827.0
Completed,590.0
Completed,842.0
Completed,663.0
Completed,488.0
Completed,433.0
Completed,807.0
Completed,771.0
Terminated/Withdrawn,280.0
Completed,746.0
Completed,1114.0
Completed,1034.0
Completed,609.0
Completed,258.0
Completed,520.0
Completed,589.0
Completed,848.0
Completed,957.0
Terminated/Withdrawn,282.0
Completed,836.0
Completed,858.0
Completed,576.0
Terminated/Withdrawn,244.0
Completed,890.0
Completed,357.0
Completed,665.0
Terminated/Withdrawn,277.0
Terminated/Withdrawn,296.0
Completed,1069.0
Completed,60.0
Completed,562.0
Completed,607.0
Completed,253.0
Terminated/Withdrawn,276.0
Terminated/Withdrawn,258.0
Terminated/Withdrawn,404.0
Completed,53.0
Completed,530.0
Completed,796.0
Completed,884.0
Completed,526.0
Terminated/Withdrawn,390.0
Terminated/Withdrawn,305.0
Terminated/Withdrawn,238.0
Completed,840.0
Completed,682.0
Completed,920.0
Completed,277.0
Completed,1064.0
Completed,600.0
Completed,597.0
Completed,754.0
Completed,1139.0
Terminated/Withdrawn,226.0
Completed,1215.0
Completed,1092.0
Completed,608.0
Completed,900.0
Completed,742.0
Completed,866.0
Completed,870.0
Terminated/Withdrawn,250.0
Completed,478.0
Terminated/Withdrawn,212.0
Completed,590.0
Completed,788.0
Completed,606.0
Terminated/Withdrawn,269.0
Terminated/Withdrawn,438.0
Completed,1032.0
Completed,981.0
Terminated/Withdrawn,323.0
Completed,888.0
Completed,871.0
Completed,333.0
Completed,1211.0
Terminated/Withdrawn,491.0
Completed,743.0
Completed,734.0
Completed,1015.0
Completed,1020.0
Completed,349.0
Terminated/Withdrawn,421.0
Completed,656.0
Completed,539.0
Completed,1174.0
Completed,1087.0
Completed,131.0
Completed,993.0
Completed,849.0
Completed,930.0
Completed,1016.0
Completed,572.0
Terminated/Withdrawn,293.0
Terminated/Withdrawn,544.0
Completed,586.0
Terminated/Withdrawn,534.0
Terminated/Withdrawn,391.0
Completed,1141.0
Completed,903.0
Completed,575.0
Completed,1323.0
Completed,1216.0
Completed,1076.0
Completed,988.0
Completed,816.0
Completed,1033.0
Completed,1196.0
Completed,331.0
Completed,954.0
Completed,736.0
Completed,969.0
Completed,655.0
Completed,1223.0
Terminated/Withdrawn,117.0
Completed,920.0
Completed,674.0
Terminated/Withdrawn,242.0
Completed,606.0
Completed,648.0
Completed,661.0
Completed,596.0
Completed,1044.0
Completed,864.0
Completed,619.0
Completed,691.0
Terminated/Withdrawn,340.0
Completed,713.0
Completed,479.0
Completed,656.0
Completed,789.0
Terminated/Withdrawn,230.0
Completed,455.0
Completed,512.0
Terminated/Withdrawn,751.0
Terminated/Withdrawn,248.0
Completed,806.0
Terminated/Withdrawn,185.0
Completed,483.0
Completed,659.0
Completed,1005.0
Terminated/Withdrawn,554.0
Completed,983.0
Terminated/Withdrawn,187.0
Completed,1449.0
Completed,891.0
Completed,877.0
Completed,714.0
Completed,1280.0
Completed,748.0
Completed,533.0
Completed,736.0
Completed,472.0
Terminated/Withdrawn,289.0
Completed,885.0
Completed,1088.0
Terminated/Withdrawn,220.0
Completed,1173.0
Completed,760.0
Completed,907.0
Terminated/Withdrawn,366.0
Completed,103.0
Completed,839.0
Completed,1454.0
Completed,915.0
Completed,422.0
Completed,546.0
Completed,147.0
Terminated/Withdrawn,333.0
Completed,788.0
Completed,689.0
Completed,679.0
Completed,1155.0
Completed,596.0
Completed,1560.0
Terminated/Withdrawn,186.0
Completed,499.0
Completed,752.0
Completed,458.0
Completed,644.0
Completed,650.0
Completed,855.0
Completed,982.0
Completed,889.0
Completed,1145.0
Completed,959.0
Completed,709.0
Terminated/Withdrawn,500.0
Completed,1605.0
Completed,927.0
Terminated/Withdrawn,763.0
Completed,1348.0
Completed,497.0
Completed,1025.0
Terminated/Withdrawn,512.0
Completed,654.0
Terminated/Withdrawn,291.0
Completed,734.0
Completed,1137.0
Completed,842.0
Completed,733.0
Completed,1189.0
Completed,182.0
Completed,987.0
Completed,1479.0
Completed,608.0
Completed,1121.0
Completed,980.0
Completed,1096.0
Terminated/Withdrawn,424.0
Completed,946.0
Completed,772.0
Terminated/Withdrawn,341.0
Completed,839.0
Completed,741.0
Terminated/Withdrawn,228.0
Completed,844.0
Completed,864.0
Terminated/Withdrawn,174.0
Completed,1061.0
Completed,809.0
Terminated/Withdrawn,353.0
Completed,1219.0
Terminated/Withdrawn,142.0
Completed,737.0
Completed,627.0
Terminated/Withdrawn,277.0
Terminated/Withdrawn,380.0
Completed,1498.0
Terminated/Withdrawn,456.0
Completed,323.0
Completed,807.0
Completed,849.0
Completed,1646.0
Completed,931.0
Completed,1250.0
Completed,107.0
Completed,815.0
Completed,739.0
Completed,1615.0
Completed,522.0
Completed,533.0
Completed,557.0
Terminated/Withdrawn,238.0
Completed,681.0
Terminated/Withdrawn,384.0
Completed,702.0
Completed,976.0
Completed,928.0
Completed,566.0
Completed,910.0
Completed,770.0
Terminated/Withdrawn,437.0
Completed,642.0
Completed,905.0
Terminated/Withdrawn,7.0
Completed,1471.0
Completed,985.0
Terminated/Withdrawn,431.0
Completed,781.0
Completed,1129.0
Completed,1127.0
Terminated/Withdrawn,210.0
Completed,811.0
Completed,1166.0
Terminated/Withdrawn,318.0
Completed,937.0
Completed,526.0
Completed,791.0
Completed,626.0
Terminated/Withdrawn,322.0
Terminated/Withdrawn,333.0
Terminated/Withdrawn,332.0
Completed,724.0
Completed,620.0
Completed,698.0
Completed,1175.0
Completed,779.0
Terminated/Withdrawn,287.0
Completed,475.0
Completed,1238.0
Completed,665.0
Completed,1099.0
Completed,1314.0
Completed,842.0
Completed,750.0
Completed,1198.0
Terminated/Withdrawn,821.0
Terminated/Withdrawn,259.0
Completed,1475.0
Terminated/Withdrawn,195.0
Completed,1094.0
Completed,1097.0
Completed,1019.0
Completed,831.0
Terminated/Withdrawn,382.0
Completed,854.0
Completed,577.0
Completed,1278.0
Completed,967.0
Completed,812.0
Completed,1714.0
Completed,697.0
Terminated/Withdrawn,614.0
Terminated/Withdrawn,283.0
Terminated/Withdrawn,447.0
Completed,531.0
Completed,991.0
Completed,568.0
Terminated/Withdrawn,306.0
Completed,762.0
Completed,988.0
Completed,1155.0
Completed,454.0
Completed,476.0
Completed,1589.0
Completed,775.0
Terminated/Withdrawn,317.0
Completed,737.0
Terminated/Withdrawn,180.0
Completed,119.0
Completed,614.0
Completed,513.0
Completed,1054.0
Completed,919.0
Terminated/Withdrawn,448.0
Completed,271.0
Completed,950.0
Terminated/Withdrawn,286.0
Completed,1578.0
Completed,849.0
Completed,1007.0
Completed,965.0
Completed,742.0
Completed,771.0
Terminated/Withdrawn,316.0
Completed,891.0
Completed,1595.0
Completed,196.0
Completed,1193.0
Completed,604.0
Terminated/Withdrawn,595.0
Completed,571.0
Completed,465.0
Completed,985.0
Completed,921.0
Terminated/Withdrawn,585.0
Completed,436.0
Completed,592.0
Completed,812.0
Completed,790.0
Completed,912.0
Terminated/Withdrawn,239.0
Completed,542.0
Completed,746.0
Completed,807.0
Completed,271.0
Completed,1194.0
Terminated/Withdrawn,304.0
Completed,1053.0
Terminated/Withdrawn,272.0
Completed,1013.0
Completed,1394.0
Completed,746.0
Completed,720.0
Terminated/Withdrawn,230.0
Terminated/Withdrawn,232.0
Terminated/Withdrawn,190.0
Completed,766.0
Completed,614.0
Completed,1248.0
Completed,1044.0
Completed,560.0
Completed,813.0
Completed,869.0
Completed,369.0
Completed,959.0
Completed,1136.0
Completed,872.0
Terminated/Withdrawn,321.0
Terminated/Withdrawn,152.0
Completed,1363.0
Completed,1181.0
Terminated/Withdrawn,192.0
Completed,1340.0
Completed,931.0
Terminated/Withdrawn,417.0
Completed,904.0
Completed,262.0
Terminated/Withdrawn,331.0
Terminated/Withdrawn,238.0
Completed,179.0
Completed,1354.0
Terminated/Withdrawn,305.0
Terminated/Withdrawn,444.0
Completed,911.0
Completed,972.0
Terminated/Withdrawn,186.0
Completed,936.0
Completed,779.0
Completed,915.0
Completed,755.0
Completed,718.0
Terminated/Withdrawn,279.0
Terminated/Withdrawn,377.0
Completed,847.0
Terminated/Withdrawn,287.0
Terminated/Withdrawn,380.0
Completed,692.0
Completed,1085.0
Completed,607.0
Completed,515.0
Completed,1154.0
Completed,894.0
Terminated/Withdrawn,550.0
Completed,1375.0
Completed,984.0
Terminated/Withdrawn,441.0
Completed,563.0
Completed,1024.0
Completed,563.0
Completed,854.0
Completed,619.0
Completed,855.0
Terminated/Withdrawn,256.0
Terminated/Withdrawn,317.0
Completed,591.0
Completed,653.0
Completed,910.0
Completed,472.0
Completed,818.0
Completed,1048.0
Completed,720.0
Completed,1010.0
Completed,800.0
Terminated/Withdrawn,358.0
Completed,26.0
Terminated/Withdrawn,286.0
Completed,1045.0
Completed,903.0
Terminated/Withdrawn,286.0
Completed,1262.0
Completed,963.0
Completed,1296.0
Completed,783.0
Completed,758.0
Completed,707.0
Terminated/Withdrawn,703.0
Completed,830.0
Terminated/Withdrawn,271.0
Completed,1068.0
Completed,954.0
Completed,2036.0
Completed,1068.0
Completed,504.0
Completed,891.0
Completed,1226.0
Completed,1248.0
Terminated/Withdrawn,200.0
Completed,615.0
Completed,721.0
Completed,111.0
Completed,889.0
Terminated/Withdrawn,605.0
Completed,677.0
Terminated/Withdrawn,495.0
Completed,794.0
Completed,1112.0
Completed,551.0
Completed,624.0
Completed,447.0
Terminated/Withdrawn,363.0
Completed,926.0
Completed,605.0
Completed,488.0
Terminated/Withdrawn,182.0
Completed,1254.0
Terminated/Withdrawn,253.0
Completed,480.0
Completed,1096.0
Completed,650.0
Completed,887.0
Completed,692.0
Completed,696.0
Terminated/Withdrawn,684.0
Terminated/Withdrawn,201.0
Completed,934.0
Completed,574.0
Completed,526.0
Terminated/Withdrawn,735.0
Terminated/Withdrawn,484.0
Completed,777.0
Completed,1198.0
Completed,863.0
Terminated/Withdrawn,260.0
Completed,1281.0
Completed,1047.0
Terminated/Withdrawn,275.0
Completed,637.0
Completed,759.0
Completed,1546.0
Terminated/Withdrawn,175.0
Completed,843.0
Completed,1024.0
Completed,1267.0
Completed,583.0
Completed,833.0
Completed,1144.0
Completed,518.0
Completed,710.0
Terminated/Withdrawn,202.0
Completed,953.0
Completed,1242.0
Completed,673.0
Completed,1055.0
Completed,681.0
Completed,828.0
Completed,887.0
Completed,778.0
Completed,644.0
Completed,716.0
Completed,844.0
Terminated/Withdrawn,360.0
Completed,716.0
Terminated/Withdrawn,333.0
Completed,802.0
Completed,1071.0
Completed,1131.0
Terminated/Withdrawn,433.0
Completed,1229.0
Terminated/Withdrawn,253.0
Terminated/Withdrawn,166.0
Completed,1133.0
Completed,852.0
Completed,421.0
Completed,990.0
Terminated/Withdrawn,779.0
Completed,1072.0
Completed,1803.0
Completed,920.0
Completed,568.0
Completed,627.0
Completed,658.0
Completed,1302.0
Completed,765.0
Terminated/Withdrawn,294.0
Completed,1076.0
Completed,1584.0
Terminated/Withdrawn,178.0
Completed,1627.0
Completed,590.0
Completed,558.0
Completed,1604.0
Terminated/Withdrawn,440.0
Terminated/Withdrawn,259.0
Terminated/Withdrawn,499.0
Completed,564.0
Terminated/Withdrawn,290.0
Terminated/Withdrawn,336.0
Terminated/Withdrawn,252.0
Completed,888.0
Completed,526.0
Terminated/Withdrawn,582.0
Terminated/Withdrawn,396.0
Completed,911.0
Completed,912.0
Terminated/Withdrawn,285.0
Completed,495.0
Completed,558.0
Completed,1321.0
Completed,598.0
Completed,605.0
Terminated/Withdrawn,222.0
Terminated/Withdrawn,230.0
Completed,901.0
Completed,1713.0
Completed,1144.0
Completed,882.0
Completed,690.0
Completed,613.0
Completed,824.0
Terminated/Withdrawn,401.0
Terminated/Withdrawn,432.0
Completed,775.0
Completed,1302.0
Terminated/Withdrawn,251.0
Completed,752.0
Completed,697.0
Terminated/Withdrawn,306.0
Completed,702.0
Completed,1177.0
Completed,893.0
Completed,966.0
Terminated/Withdrawn,245.0
Completed,630.0
Completed,695.0
Completed,885.0
Terminated/Withdrawn,286.0
Completed,614.0
Terminated/Withdrawn,425.0
Completed,710.0
Completed,699.0
Terminated/Withdrawn,276.0
Completed,1125.0
Terminated/Withdrawn,310.0
Completed,706.0
Completed,857.0
Completed,1796.0
Completed,755.0
Terminated/Withdrawn,133.0
Completed,813.0
Completed,514.0
Completed,516.0
Completed,1572.0
Completed,517.0
Completed,798.0
Completed,1383.0
Completed,913.0
Completed,1339.0
Completed,513.0
Completed,841.0
Completed,622.0
Completed,858.0
Terminated/Withdrawn,355.0
Completed,1116.0
Completed,1328.0
Completed,1111.0
Completed,875.0
Completed,995.0
