nct_id,sponsor_type,sponsor_name
NCT100000061,Industry,Industry Sponsor #262
NCT100000062,Industry,Industry Sponsor #267
NCT100000063,Other,Other Sponsor #320
NCT100000064,Industry,Industry Sponsor #210
NCT100000065,Industry,Industry Sponsor #195
NCT100000066,Industry,Industry Sponsor #147
NCT100000067,Industry,Industry Sponsor #346
NCT100000068,Other,Other Sponsor #338
NCT100000069,NIH,NIH Sponsor #385
NCT100000070,Industry,Industry Sponsor #126
NCT100000071,Other,Other Sponsor #357
NCT100000072,Other,Other Sponsor #385
NCT100000073,Other,Other Sponsor #238
NCT100000074,Industry,Industry Sponsor #238
NCT100000075,Other,Other Sponsor #369
NCT100000076,Industry,Industry Sponsor #231
NCT100000077,Industry,Industry Sponsor #249
NCT100000078,Industry,Industry Sponsor #164
NCT100000079,Industry,Industry Sponsor #110
NCT100000080,Industry,Industry Sponsor #216
NCT100000081,Industry,Industry Sponsor #295
NCT100000082,Industry,Industry Sponsor #215
NCT100000083,Other,Other Sponsor #140
NCT100000084,Other,Other Sponsor #371
NCT100000085,Other,Other Sponsor #202
NCT100000086,Industry,Industry Sponsor #94
NCT100000087,Industry,Industry Sponsor #195
NCT100000088,Industry,Industry Sponsor #277
NCT100000089,Industry,Industry Sponsor #21
NCT100000090,Other,Other Sponsor #243
NCT100000091,Industry,Industry Sponsor #311
NCT100000092,Industry,Industry Sponsor #160
NCT100000093,Other,Other Sponsor #354
NCT100000094,Industry,Industry Sponsor #62
NCT100000095,Industry,Industry Sponsor #260
NCT100000096,Industry,Industry Sponsor #326
NCT100000097,Other,Other Sponsor #139
NCT100000098,Other,Other Sponsor #166
NCT100000099,Industry,Industry Sponsor #313
NCT100000100,Industry,Industry Sponsor #182
NCT100000101,Other,Other Sponsor #6
NCT100000102,Other,Other Sponsor #389
NCT100000103,Industry,Industry Sponsor #48
NCT100000104,Industry,Industry Sponsor #243
NCT100000105,Other,Other Sponsor #360
NCT100000106,Industry,Industry Sponsor #62
NCT100000107,Industry,Industry Sponsor #390
NCT100000108,Other,Other Sponsor #185
NCT100000109,Industry,Industry Sponsor #28
NCT100000110,Other,Other Sponsor #7
NCT100000111,Industry,Industry Sponsor #130
NCT100000112,Industry,Industry Sponsor #28
NCT100000113,Industry,Industry Sponsor #286
NCT100000114,Industry,Industry Sponsor #153
NCT100000115,Industry,Industry Sponsor #51
NCT100000116,Industry,Industry Sponsor #39
NCT100000117,NIH,NIH Sponsor #119
NCT100000118,Industry,Industry Sponsor #136
NCT100000119,Industry,Industry Sponsor #137
NCT100000120,Industry,Industry Sponsor #292
NCT100000121,Other,Other Sponsor #257
NCT100000122,Industry,Industry Sponsor #166
NCT100000123,Other,Other Sponsor #301
NCT100000124,Industry,Industry Sponsor #227
NCT100000125,Industry,Industry Sponsor #179
NCT100000126,Other,Other Sponsor #356
NCT100000127,NIH,NIH Sponsor #162
NCT100000128,Industry,Industry Sponsor #1
NCT100000129,Industry,Industry Sponsor #388
NCT100000130,Industry,Industry Sponsor #148
NCT100000131,Other,Other Sponsor #123
NCT100000132,Industry,Industry Sponsor #59
NCT100000133,Industry,Industry Sponsor #150
NCT100000134,Industry,Industry Sponsor #234
NCT100000135,NIH,NIH Sponsor #70
NCT100000136,Other,Other Sponsor #2
NCT100000137,NIH,NIH Sponsor #77
NCT100000138,NIH,NIH Sponsor #234
NCT100000139,Other,Other Sponsor #382
NCT100000140,Other,Other Sponsor #78
NCT100000141,Other,Other Sponsor #52
NCT100000142,Industry,Industry Sponsor #210
NCT100000143,Other,Other Sponsor #355
NCT100000144,Other,Other Sponsor #195
NCT100000145,Industry,Industry Sponsor #148
NCT100000146,Other,Other Sponsor #86
NCT100000147,Industry,Industry Sponsor #221
NCT100000148,Other,Other Sponsor #90
NCT100000149,Industry,Industry Sponsor #74
NCT100000150,Other,Other Sponsor #239
NCT100000151,Industry,Industry Sponsor #328
NCT100000152,Industry,Industry Sponsor #122
NCT100000153,Other,Other Sponsor #338
NCT100000154,Other,Other Sponsor #26
NCT100000155,Industry,Industry Sponsor #318
NCT100000156,Other,Other Sponsor #159
NCT100000157,Industry,Industry Sponsor #168
NCT100000158,Industry,Industry Sponsor #272
NCT100000159,Industry,Industry Sponsor #247
NCT100000160,Industry,Industry Sponsor #116
NCT100000161,Other,Other Sponsor #275
NCT100000162,Other,Other Sponsor #327
NCT100000163,Other,Other Sponsor #313
NCT100000164,Industry,Industry Sponsor #333
NCT100000165,Industry,Industry Sponsor #60
NCT100000166,Industry,Industry Sponsor #381
NCT100000167,Other,Other Sponsor #336
NCT100000168,Other,Other Sponsor #354
NCT100000169,Industry,Industry Sponsor #352
NCT100000170,Industry,Industry Sponsor #233
NCT100000171,NIH,NIH Sponsor #171
NCT100000172,Industry,Industry Sponsor #284
NCT100000173,Industry,Industry Sponsor #306
NCT100000174,Industry,Industry Sponsor #57
NCT100000175,Other,Other Sponsor #166
NCT100000176,Other,Other Sponsor #382
NCT100000177,Industry,Industry Sponsor #258
NCT100000178,Other,Other Sponsor #267
NCT100000179,Industry,Industry Sponsor #352
NCT100000180,Industry,Industry Sponsor #34
NCT100000181,Industry,Industry Sponsor #306
NCT100000182,Industry,Industry Sponsor #59
NCT100000183,Other,Other Sponsor #233
NCT100000184,Industry,Industry Sponsor #79
NCT100000185,Industry,Industry Sponsor #382
NCT100000186,Other,Other Sponsor #344
NCT100000187,Other,Other Sponsor #370
NCT100000188,Industry,Industry Sponsor #109
NCT100000189,Industry,Industry Sponsor #189
NCT100000190,Other,Other Sponsor #393
NCT100000191,Other,Other Sponsor #137
NCT100000192,Industry,Industry Sponsor #4
NCT100000193,Industry,Industry Sponsor #325
NCT100000194,Industry,Industry Sponsor #160
NCT100000195,Industry,Industry Sponsor #26
NCT100000196,Industry,Industry Sponsor #140
NCT100000197,Industry,Industry Sponsor #348
NCT100000198,Industry,Industry Sponsor #307
NCT100000199,Industry,Industry Sponsor #131
NCT100000200,Other,Other Sponsor #195
NCT100000201,Other,Other Sponsor #37
NCT100000202,Industry,Industry Sponsor #161
NCT100000203,Other,Other Sponsor #208
NCT100000204,Other,Other Sponsor #354
NCT100000205,NIH,NIH Sponsor #203
NCT100000206,Industry,Industry Sponsor #59
NCT100000207,Industry,Industry Sponsor #331
NCT100000208,Industry,Industry Sponsor #390
NCT100000209,Other,Other Sponsor #289
NCT100000210,Other,Other Sponsor #322
NCT100000211,Industry,Industry Sponsor #141
NCT100000212,Industry,Industry Sponsor #30
NCT100000213,Other,Other Sponsor #315
NCT100000214,NIH,NIH Sponsor #22
NCT100000215,Industry,Industry Sponsor #78
NCT100000216,Industry,Industry Sponsor #21
NCT100000217,Industry,Industry Sponsor #187
NCT100000218,Other,Other Sponsor #27
NCT100000219,NIH,NIH Sponsor #130
NCT100000220,NIH,NIH Sponsor #180
NCT100000221,Other,Other Sponsor #287
NCT100000222,Other,Other Sponsor #379
NCT100000223,Industry,Industry Sponsor #110
NCT100000224,Other,Other Sponsor #152
NCT100000225,Other,Other Sponsor #20
NCT100000226,Industry,Industry Sponsor #355
NCT100000227,Industry,Industry Sponsor #228
NCT100000228,Industry,Industry Sponsor #241
NCT100000229,Industry,Industry Sponsor #271
NCT100000230,Other,Other Sponsor #129
NCT100000231,NIH,NIH Sponsor #265
NCT100000232,Industry,Industry Sponsor #76
NCT100000233,Other,Other Sponsor #213
NCT100000234,Industry,Industry Sponsor #115
NCT100000235,Other,Other Sponsor #71
NCT100000236,Industry,Industry Sponsor #230
NCT100000237,Other,Other Sponsor #373
NCT100000238,Industry,Industry Sponsor #123
NCT100000239,Industry,Industry Sponsor #306
NCT100000240,Other,Other Sponsor #1
NCT100000241,Other,Other Sponsor #185
NCT100000242,Other,Other Sponsor #11
NCT100000243,Industry,Industry Sponsor #383
NCT100000244,Other,Other Sponsor #396
NCT100000245,Industry,Industry Sponsor #330
NCT100000246,Industry,Industry Sponsor #70
NCT100000247,Industry,Industry Sponsor #22
NCT100000248,Other,Other Sponsor #130
NCT100000249,Other,Other Sponsor #336
NCT100000250,Industry,Industry Sponsor #226
NCT100000251,Industry,Industry Sponsor #266
NCT100000252,Industry,Industry Sponsor #93
NCT100000253,Industry,Industry Sponsor #229
NCT100000254,Industry,Industry Sponsor #181
NCT100000255,Other,Other Sponsor #344
NCT100000256,Other,Other Sponsor #74
NCT100000257,Industry,Industry Sponsor #186
NCT100000258,Industry,Industry Sponsor #190
NCT100000259,Industry,Industry Sponsor #333
NCT100000260,Industry,Industry Sponsor #288
NCT100000261,Industry,Industry Sponsor #356
NCT100000262,Industry,Industry Sponsor #366
NCT100000263,Other,Other Sponsor #342
NCT100000264,Industry,Industry Sponsor #81
NCT100000265,Industry,Industry Sponsor #72
NCT100000266,NIH,NIH Sponsor #283
NCT100000267,Industry,Industry Sponsor #246
NCT100000268,Industry,Industry Sponsor #329
NCT100000269,Industry,Industry Sponsor #400
NCT100000270,Other,Other Sponsor #29
NCT100000271,Industry,Industry Sponsor #116
NCT100000272,Other,Other Sponsor #326
NCT100000273,Industry,Industry Sponsor #304
NCT100000274,NIH,NIH Sponsor #15
NCT100000275,Industry,Industry Sponsor #317
NCT100000276,Other,Other Sponsor #351
NCT100000277,Industry,Industry Sponsor #248
NCT100000278,Industry,Industry Sponsor #376
NCT100000279,Industry,Industry Sponsor #124
NCT100000280,Industry,Industry Sponsor #197
NCT100000281,Other,Other Sponsor #296
NCT100000282,Industry,Industry Sponsor #158
NCT100000283,Industry,Industry Sponsor #111
NCT100000284,Industry,Industry Sponsor #335
NCT100000285,Industry,Industry Sponsor #136
NCT100000286,Industry,Industry Sponsor #186
NCT100000287,Industry,Industry Sponsor #320
NCT100000288,Industry,Industry Sponsor #174
NCT100000289,Industry,Industry Sponsor #257
NCT100000290,Industry,Industry Sponsor #234
NCT100000291,Other,Other Sponsor #202
NCT100000292,Industry,Industry Sponsor #289
NCT100000293,Other,Other Sponsor #299
NCT100000294,Industry,Industry Sponsor #398
NCT100000295,NIH,NIH Sponsor #323
NCT100000296,Industry,Industry Sponsor #359
NCT100000297,Industry,Industry Sponsor #105
NCT100000298,Other,Other Sponsor #32
NCT100000299,Other,Other Sponsor #193
NCT100000300,Industry,Industry Sponsor #347
NCT100000301,Industry,Industry Sponsor #116
NCT100000302,Industry,Industry Sponsor #287
NCT100000303,Industry,Industry Sponsor #203
NCT100000304,Other,Other Sponsor #227
NCT100000305,Industry,Industry Sponsor #357
NCT100000306,NIH,NIH Sponsor #343
NCT100000307,Industry,Industry Sponsor #349
NCT100000308,Industry,Industry Sponsor #244
NCT100000309,Industry,Industry Sponsor #31
NCT100000310,Other,Other Sponsor #90
NCT100000311,Industry,Industry Sponsor #254
NCT100000312,Industry,Industry Sponsor #55
NCT100000313,Industry,Industry Sponsor #69
NCT100000314,Industry,Industry Sponsor #235
NCT100000315,Other,Other Sponsor #388
NCT100000316,Other,Other Sponsor #264
NCT100000317,Industry,Industry Sponsor #166
NCT100000318,Other,Other Sponsor #155
NCT100000319,Other,Other Sponsor #32
NCT100000320,Other,Other Sponsor #361
NCT100000321,Industry,Industry Sponsor #245
NCT100000322,Other,Other Sponsor #388
NCT100000323,Other,Other Sponsor #42
NCT100000324,Industry,Industry Sponsor #32
NCT100000325,Industry,Industry Sponsor #267
NCT100000326,Industry,Industry Sponsor #229
NCT100000327,Industry,Industry Sponsor #237
NCT100000328,Other,Other Sponsor #297
NCT100000329,Industry,Industry Sponsor #36
NCT100000330,Other,Other Sponsor #374
NCT100000331,Industry,Industry Sponsor #194
NCT100000332,Other,Other Sponsor #276
NCT100000333,Industry,Industry Sponsor #12
NCT100000334,Other,Other Sponsor #178
NCT100000335,Other,Other Sponsor #339
NCT100000336,Industry,Industry Sponsor #229
NCT100000337,Industry,Industry Sponsor #277
NCT100000338,Other,Other Sponsor #375
NCT100000339,Other,Other Sponsor #155
NCT100000340,Industry,Industry Sponsor #303
NCT100000341,Industry,Industry Sponsor #330
NCT100000342,Industry,Industry Sponsor #95
NCT100000343,Industry,Industry Sponsor #238
NCT100000344,Industry,Industry Sponsor #105
NCT100000345,Other,Other Sponsor #371
NCT100000346,NIH,NIH Sponsor #38
NCT100000347,NIH,NIH Sponsor #171
NCT100000348,Industry,Industry Sponsor #383
NCT100000349,Industry,Industry Sponsor #145
NCT100000350,Industry,Industry Sponsor #255
NCT100000351,Industry,Industry Sponsor #161
NCT100000352,Other,Other Sponsor #284
NCT100000353,Industry,Industry Sponsor #126
NCT100000354,Other,Other Sponsor #329
NCT100000355,Industry,Industry Sponsor #280
NCT100000356,Other,Other Sponsor #39
NCT100000357,Other,Other Sponsor #78
NCT100000358,Industry,Industry Sponsor #316
NCT100000359,Industry,Industry Sponsor #370
NCT100000360,Other,Other Sponsor #92
NCT100000361,Industry,Industry Sponsor #130
NCT100000362,Other,Other Sponsor #125
NCT100000363,Other,Other Sponsor #48
NCT100000364,Industry,Industry Sponsor #88
NCT100000365,Industry,Industry Sponsor #49
NCT100000366,Other,Other Sponsor #244
NCT100000367,Industry,Industry Sponsor #337
NCT100000368,Industry,Industry Sponsor #365
NCT100000369,Industry,Industry Sponsor #200
NCT100000370,Other,Other Sponsor #353
NCT100000371,Industry,Industry Sponsor #175
NCT100000372,Industry,Industry Sponsor #231
NCT100000373,Industry,Industry Sponsor #300
NCT100000374,Other,Other Sponsor #79
NCT100000375,Industry,Industry Sponsor #3
NCT100000376,Industry,Industry Sponsor #286
NCT100000377,Industry,Industry Sponsor #306
NCT100000378,Industry,Industry Sponsor #399
NCT100000379,Other,Other Sponsor #87
NCT100000380,Industry,Industry Sponsor #86
NCT100000381,Other,Other Sponsor #127
NCT100000382,Industry,Industry Sponsor #203
NCT100000383,Other,Other Sponsor #221
NCT100000384,NIH,NIH Sponsor #246
NCT100000385,Industry,Industry Sponsor #252
NCT100000386,Other,Other Sponsor #289
NCT100000387,Other,Other Sponsor #373
NCT100000388,Industry,Industry Sponsor #210
NCT100000389,Other,Other Sponsor #194
NCT100000390,Industry,Industry Sponsor #355
NCT100000391,Industry,Industry Sponsor #275
NCT100000392,Industry,Industry Sponsor #86
NCT100000393,Other,Other Sponsor #386
NCT100000394,Industry,Industry Sponsor #383
NCT100000395,Industry,Industry Sponsor #238
NCT100000396,Other,Other Sponsor #152
NCT100000397,Other,Other Sponsor #160
NCT100000398,Industry,Industry Sponsor #370
NCT100000399,Other,Other Sponsor #176
NCT100000400,NIH,NIH Sponsor #219
NCT100000401,Other,Other Sponsor #378
NCT100000402,Industry,Industry Sponsor #106
NCT100000403,Other,Other Sponsor #188
NCT100000404,Other,Other Sponsor #328
NCT100000405,NIH,NIH Sponsor #235
NCT100000406,Industry,Industry Sponsor #157
NCT100000407,Industry,Industry Sponsor #71
NCT100000408,Other,Other Sponsor #331
NCT100000409,Industry,Industry Sponsor #231
NCT100000410,Industry,Industry Sponsor #288
NCT100000411,Industry,Industry Sponsor #228
NCT100000412,Other,Other Sponsor #17
NCT100000413,Other,Other Sponsor #396
NCT100000414,Industry,Industry Sponsor #188
NCT100000415,Industry,Industry Sponsor #218
NCT100000416,Other,Other Sponsor #179
NCT100000417,Industry,Industry Sponsor #108
NCT100000418,NIH,NIH Sponsor #316
NCT100000419,Other,Other Sponsor #273
NCT100000420,Other,Other Sponsor #294
NCT100000421,Other,Other Sponsor #385
NCT100000422,Industry,Industry Sponsor #128
NCT100000423,Other,Other Sponsor #251
NCT100000424,Industry,Industry Sponsor #394
NCT100000425,Other,Other Sponsor #233
NCT100000426,Other,Other Sponsor #235
NCT100000427,Industry,Industry Sponsor #109
NCT100000428,Industry,Industry Sponsor #290
NCT100000429,Other,Other Sponsor #9
NCT100000430,Industry,Industry Sponsor #104
NCT100000431,Other,Other Sponsor #185
NCT100000432,Other,Other Sponsor #321
NCT100000433,Industry,Industry Sponsor #110
NCT100000434,Industry,Industry Sponsor #5
NCT100000435,Industry,Industry Sponsor #46
NCT100000436,Other,Other Sponsor #397
NCT100000437,NIH,NIH Sponsor #85
NCT100000438,Industry,Industry Sponsor #352
NCT100000439,Industry,Industry Sponsor #302
NCT100000440,Industry,Industry Sponsor #44
NCT100000441,NIH,NIH Sponsor #354
NCT100000442,NIH,NIH Sponsor #201
NCT100000443,Other,Other Sponsor #198
NCT100000444,Industry,Industry Sponsor #7
NCT100000445,NIH,NIH Sponsor #350
NCT100000446,Other,Other Sponsor #35
NCT100000447,Industry,Industry Sponsor #260
NCT100000448,Industry,Industry Sponsor #328
NCT100000449,Industry,Industry Sponsor #105
NCT100000450,Other,Other Sponsor #349
NCT100000451,Other,Other Sponsor #45
NCT100000452,Other,Other Sponsor #62
NCT100000453,Industry,Industry Sponsor #268
NCT100000454,Industry,Industry Sponsor #138
NCT100000455,Industry,Industry Sponsor #135
NCT100000456,Industry,Industry Sponsor #291
NCT100000457,Industry,Industry Sponsor #371
NCT100000458,Other,Other Sponsor #24
NCT100000459,Industry,Industry Sponsor #19
NCT100000460,Industry,Industry Sponsor #164
NCT100000461,Industry,Industry Sponsor #27
NCT100000462,Other,Other Sponsor #239
NCT100000463,Industry,Industry Sponsor #150
NCT100000464,Industry,Industry Sponsor #253
NCT100000465,Other,Other Sponsor #278
NCT100000466,Industry,Industry Sponsor #378
NCT100000467,Industry,Industry Sponsor #31
NCT100000468,Industry,Industry Sponsor #212
NCT100000469,Industry,Industry Sponsor #69
NCT100000470,Industry,Industry Sponsor #67
NCT100000471,Other,Other Sponsor #377
NCT100000472,Industry,Industry Sponsor #400
NCT100000473,Industry,Industry Sponsor #62
NCT100000474,Industry,Industry Sponsor #47
NCT100000475,Other,Other Sponsor #168
NCT100000476,Industry,Industry Sponsor #154
NCT100000477,Industry,Industry Sponsor #384
NCT100000478,Other,Other Sponsor #7
NCT100000479,Other,Other Sponsor #323
NCT100000480,Industry,Industry Sponsor #102
NCT100000481,Other,Other Sponsor #22
NCT100000482,Industry,Industry Sponsor #350
NCT100000483,Industry,Industry Sponsor #77
NCT100000484,Other,Other Sponsor #282
NCT100000485,Industry,Industry Sponsor #270
NCT100000486,Other,Other Sponsor #184
NCT100000487,NIH,NIH Sponsor #139
NCT100000488,Industry,Industry Sponsor #144
NCT100000489,Other,Other Sponsor #82
NCT100000490,Other,Other Sponsor #29
NCT100000491,Other,Other Sponsor #89
NCT100000492,Other,Other Sponsor #303
NCT100000493,NIH,NIH Sponsor #97
NCT100000494,Industry,Industry Sponsor #120
NCT100000495,Industry,Industry Sponsor #67
NCT100000496,Other,Other Sponsor #12
NCT100000497,Other,Other Sponsor #38
NCT100000498,Industry,Industry Sponsor #81
NCT100000499,Industry,Industry Sponsor #356
NCT100000500,NIH,NIH Sponsor #158
NCT100000501,Industry,Industry Sponsor #294
NCT100000502,NIH,NIH Sponsor #314
NCT100000503,Industry,Industry Sponsor #40
NCT100000504,Other,Other Sponsor #363
NCT100000505,Industry,Industry Sponsor #180
NCT100000506,Industry,Industry Sponsor #215
NCT100000507,Industry,Industry Sponsor #296
NCT100000508,Other,Other Sponsor #11
NCT100000509,Industry,Industry Sponsor #375
NCT100000510,Other,Other Sponsor #361
NCT100000511,Industry,Industry Sponsor #170
NCT100000512,NIH,NIH Sponsor #277
NCT100000513,Industry,Industry Sponsor #282
NCT100000514,Industry,Industry Sponsor #339
NCT100000515,Industry,Industry Sponsor #42
NCT100000516,Industry,Industry Sponsor #339
NCT100000517,Industry,Industry Sponsor #96
NCT100000518,Industry,Industry Sponsor #289
NCT100000519,Industry,Industry Sponsor #388
NCT100000520,Industry,Industry Sponsor #275
NCT100000521,Industry,Industry Sponsor #366
NCT100000522,Other,Other Sponsor #318
NCT100000523,Other,Other Sponsor #99
NCT100000524,Other,Other Sponsor #322
NCT100000525,Other,Other Sponsor #35
NCT100000526,Industry,Industry Sponsor #235
NCT100000527,Industry,Industry Sponsor #291
NCT100000528,NIH,NIH Sponsor #147
NCT100000529,Other,Other Sponsor #243
NCT100000530,NIH,NIH Sponsor #206
NCT100000531,Industry,Industry Sponsor #138
NCT100000532,Industry,Industry Sponsor #252
NCT100000533,Other,Other Sponsor #165
NCT100000534,Industry,Industry Sponsor #209
NCT100000535,Industry,Industry Sponsor #160
NCT100000536,Industry,Industry Sponsor #89
NCT100000537,Industry,Industry Sponsor #185
NCT100000538,Industry,Industry Sponsor #64
NCT100000539,Industry,Industry Sponsor #243
NCT100000540,Other,Other Sponsor #353
NCT100000541,Industry,Industry Sponsor #110
NCT100000542,Industry,Industry Sponsor #400
NCT100000543,NIH,NIH Sponsor #130
NCT100000544,Industry,Industry Sponsor #130
NCT100000545,Other,Other Sponsor #53
NCT100000546,NIH,NIH Sponsor #351
NCT100000547,Industry,Industry Sponsor #142
NCT100000548,Industry,Industry Sponsor #30
NCT100000549,Other,Other Sponsor #336
NCT100000550,Industry,Industry Sponsor #19
NCT100000551,Industry,Industry Sponsor #352
NCT100000552,Other,Other Sponsor #88
NCT100000553,Industry,Industry Sponsor #372
NCT100000554,Industry,Industry Sponsor #158
NCT100000555,NIH,NIH Sponsor #61
NCT100000556,Other,Other Sponsor #100
NCT100000557,Industry,Industry Sponsor #78
NCT100000558,Other,Other Sponsor #235
NCT100000559,Industry,Industry Sponsor #91
NCT100000560,Industry,Industry Sponsor #87
NCT100000561,Other,Other Sponsor #315
NCT100000562,Other,Other Sponsor #20
NCT100000563,Other,Other Sponsor #272
NCT100000564,Industry,Industry Sponsor #177
NCT100000565,NIH,NIH Sponsor #24
NCT100000566,Industry,Industry Sponsor #223
NCT100000567,Industry,Industry Sponsor #85
NCT100000568,Other,Other Sponsor #12
NCT100000569,Other,Other Sponsor #193
NCT100000570,NIH,NIH Sponsor #56
NCT100000571,Industry,Industry Sponsor #281
NCT100000572,Other,Other Sponsor #216
NCT100000573,Other,Other Sponsor #54
NCT100000574,Industry,Industry Sponsor #102
NCT100000575,Industry,Industry Sponsor #83
NCT100000576,Other,Other Sponsor #121
NCT100000577,Other,Other Sponsor #77
NCT100000578,Other,Other Sponsor #152
NCT100000579,Industry,Industry Sponsor #149
NCT100000580,Industry,Industry Sponsor #24
NCT100000581,Industry,Industry Sponsor #225
NCT100000582,Industry,Industry Sponsor #234
NCT100000583,Industry,Industry Sponsor #86
NCT100000584,Other,Other Sponsor #303
NCT100000585,Industry,Industry Sponsor #184
NCT100000586,Industry,Industry Sponsor #24
NCT100000587,Other,Other Sponsor #381
NCT100000588,Other,Other Sponsor #266
NCT100000589,Other,Other Sponsor #178
NCT100000590,NIH,NIH Sponsor #28
NCT100000591,Industry,Industry Sponsor #85
NCT100000592,Industry,Industry Sponsor #260
NCT100000593,Industry,Industry Sponsor #294
NCT100000594,Industry,Industry Sponsor #335
NCT100000595,NIH,NIH Sponsor #47
NCT100000596,NIH,NIH Sponsor #234
NCT100000597,Industry,Industry Sponsor #308
NCT100000598,Industry,Industry Sponsor #114
NCT100000599,Other,Other Sponsor #268
NCT100000600,Industry,Industry Sponsor #368
NCT100000601,Industry,Industry Sponsor #202
NCT100000602,Industry,Industry Sponsor #325
NCT100000603,Industry,Industry Sponsor #259
NCT100000604,Other,Other Sponsor #222
NCT100000605,Other,Other Sponsor #89
NCT100000606,NIH,NIH Sponsor #259
NCT100000607,Other,Other Sponsor #232
NCT100000608,Other,Other Sponsor #360
NCT100000609,Other,Other Sponsor #103
NCT100000610,Other,Other Sponsor #364
NCT100000611,Other,Other Sponsor #390
NCT100000612,Other,Other Sponsor #346
NCT100000613,Industry,Industry Sponsor #55
NCT100000614,Industry,Industry Sponsor #83
NCT100000615,Industry,Industry Sponsor #17
NCT100000616,Other,Other Sponsor #115
NCT100000617,Other,Other Sponsor #148
NCT100000618,Other,Other Sponsor #161
NCT100000619,Other,Other Sponsor #227
NCT100000620,NIH,NIH Sponsor #100
NCT100000621,Industry,Industry Sponsor #377
NCT100000622,Industry,Industry Sponsor #83
NCT100000623,Industry,Industry Sponsor #21
NCT100000624,Other,Other Sponsor #339
NCT100000625,Industry,Industry Sponsor #270
NCT100000626,Other,Other Sponsor #279
NCT100000627,Other,Other Sponsor #170
NCT100000628,NIH,NIH Sponsor #288
NCT100000629,Industry,Industry Sponsor #315
NCT100000630,Other,Other Sponsor #132
NCT100000631,Industry,Industry Sponsor #264
NCT100000632,Other,Other Sponsor #264
NCT100000633,Other,Other Sponsor #4
NCT100000634,Industry,Industry Sponsor #276
NCT100000635,Industry,Industry Sponsor #170
NCT100000636,Other,Other Sponsor #295
NCT100000637,Other,Other Sponsor #9
NCT100000638,Other,Other Sponsor #388
NCT100000639,Industry,Industry Sponsor #352
NCT100000640,Other,Other Sponsor #339
NCT100000641,Industry,Industry Sponsor #280
NCT100000642,Other,Other Sponsor #374
NCT100000643,Industry,Industry Sponsor #294
NCT100000644,Industry,Industry Sponsor #380
NCT100000645,Other,Other Sponsor #95
NCT100000646,Industry,Industry Sponsor #28
NCT100000647,Industry,Industry Sponsor #129
NCT100000648,Industry,Industry Sponsor #336
NCT100000649,Other,Other Sponsor #231
NCT100000650,Industry,Industry Sponsor #162
NCT100000651,Industry,Industry Sponsor #224
NCT100000652,Other,Other Sponsor #237
NCT100000653,Industry,Industry Sponsor #42
NCT100000654,Other,Other Sponsor #373
NCT100000655,Other,Other Sponsor #297
