nct_id,study_type,phase,overall_status,enrollment,start_date,completion_date
NCT100000050,Interventional,Phase 3,Completed,508,2024-05-16,2026-12-29
NCT100000051,Interventional,Phase 2,Terminated,279,2018-10-13,2019-10-08
NCT100000052,Interventional,Phase 2,Recruiting,93,2016-08-08,
NCT100000053,Interventional,Phase 3,Completed,111,2022-03-14,2023-12-24
NCT100000054,Interventional,Phase 4,"Active, not recruiting",470,2012-11-03,
NCT100000055,Interventional,Phase 3,Terminated,57,2013-04-19,2015-02-25
NCT100000056,Interventional,Phase 3,"Active, not recruiting",32,2013-12-12,
NCT100000057,Interventional,Phase 2,"Active, not recruiting",33,2022-08-29,
NCT100000058,Interventional,Phase 2,Completed,74,2018-07-06,2021-01-10
NCT100000059,Interventional,Phase 2,Terminated,122,2012-12-23,2013-05-17
NCT100000060,Interventional,Phase 1,Completed,11,2021-05-31,2022-12-14
NCT100000061,Interventional,Phase 3,Completed,19,2021-09-24,2024-04-02
NCT100000062,Interventional,Phase 1,Completed,51,2024-11-29,2026-10-10
NCT100000063,Interventional,Phase 2,Unknown status,290,2020-12-10,
NCT100000064,Interventional,Phase 3,Completed,40,2015-04-19,2017-08-21
NCT100000065,Interventional,Phase 2,Withdrawn,25,2020-07-04,2021-06-08
NCT100000066,Interventional,Phase 2,Completed,779,2025-06-29,2025-12-31
NCT100000067,Interventional,Phase 2,Completed,45,2018-01-04,2020-07-04
NCT100000068,Interventional,Phase 3,Recruiting,24,2023-06-10,
NCT100000069,Interventional,Phase 3,Completed,48,2014-06-28,2016-05-05
NCT100000070,Interventional,Phase 1,Completed,48,2020-01-17,2021-08-01
NCT100000071,Interventional,Phase 2,Completed,8,2024-01-05,2025-12-31
NCT100000072,Interventional,Phase 1,Completed,542,2022-03-10,2025-12-31
NCT100000073,Interventional,Phase 1,Recruiting,83,2019-12-01,
NCT100000074,Interventional,Phase 4,Completed,28,2023-05-15,2025-07-13
NCT100000075,Interventional,Phase 4,Terminated,34,2013-06-25,2014-05-11
NCT100000076,Interventional,Phase 2,"Active, not recruiting",66,2011-04-26,
NCT100000077,Interventional,Phase 3,Recruiting,47,2013-08-14,
NCT100000078,Interventional,Phase 1,Completed,288,2019-11-13,2022-01-27
NCT100000079,Interventional,Phase 1,Completed,90,2018-07-26,2020-03-10
NCT100000080,Interventional,Phase 2,Completed,2289,2013-09-21,2018-02-20
NCT100000081,Interventional,Phase 4,"Active, not recruiting",37,2017-03-30,
NCT100000082,Interventional,Phase 4,Completed,121,2016-08-08,2018-04-09
NCT100000083,Interventional,Phase 3,Completed,99,2011-10-12,2013-05-07
NCT100000084,Interventional,Phase 2,Recruiting,13,2024-07-15,
NCT100000085,Interventional,Phase 4,Completed,75,2023-01-11,2025-05-27
NCT100000086,Interventional,Phase 1,"Active, not recruiting",67,2013-01-07,
NCT100000087,Interventional,Phase 2,Completed,488,2018-09-17,2019-10-18
NCT100000088,Interventional,Phase 1,Completed,126,2020-08-04,2022-06-04
NCT100000089,Interventional,Phase 1,Unknown status,656,2017-04-02,
NCT100000090,Interventional,Phase 3,Completed,160,2016-07-06,2018-10-14
NCT100000091,Interventional,Phase 2,Completed,61,2021-04-14,2024-09-21
NCT100000092,Interventional,Phase 4,Completed,348,2018-03-19,2020-11-23
NCT100000093,Interventional,Phase 2,Completed,153,2020-10-14,2022-10-31
NCT100000094,Interventional,Phase 3,Withdrawn,280,2015-04-28,2015-12-23
NCT100000095,Interventional,Phase 2,Completed,97,2023-11-29,2025-12-31
NCT100000096,Interventional,Phase 3,Unknown status,208,2021-11-19,
NCT100000097,Interventional,Phase 2,Unknown status,50,2025-01-14,
NCT100000098,Interventional,Phase 2,Terminated,28,2025-05-19,2025-12-31
NCT100000099,Interventional,Phase 4,Completed,28,2022-12-04,2025-04-14
NCT100000100,Interventional,Phase 2,Completed,128,2012-06-04,2015-09-16
NCT100000101,Interventional,Phase 4,Completed,79,2017-12-27,2020-05-17
NCT100000102,Interventional,Phase 1,Terminated,5,2018-05-20,2018-12-24
NCT100000103,Interventional,Phase 3,Recruiting,491,2012-10-03,
NCT100000104,Interventional,Phase 3,Completed,238,2020-11-12,2022-12-26
NCT100000105,Interventional,Phase 2,Completed,73,2016-01-02,2018-06-08
NCT100000106,Interventional,Phase 1,Completed,75,2016-06-18,2018-06-11
NCT100000107,Interventional,Phase 1,Recruiting,26,2025-01-15,
NCT100000108,Interventional,Phase 4,Completed,347,2016-09-30,2018-08-09
NCT100000109,Interventional,Phase 3,Completed,237,2022-09-14,2025-03-18
NCT100000110,Interventional,Phase 3,Completed,156,2021-10-06,2024-09-16
NCT100000111,Interventional,Phase 2,Unknown status,8,2020-07-21,
NCT100000112,Interventional,Phase 2,Terminated,53,2019-10-28,2020-10-03
NCT100000113,Interventional,Phase 4,Completed,21,2023-05-19,2024-11-01
NCT100000114,Interventional,Phase 3,"Active, not recruiting",164,2015-07-12,
NCT100000115,Interventional,Phase 2,Unknown status,17,2022-09-19,
NCT100000116,Interventional,Phase 3,Completed,95,2025-12-14,2025-12-31
NCT100000117,Interventional,Phase 2,Completed,72,2012-08-05,2015-06-26
NCT100000118,Interventional,Phase 3,Withdrawn,40,2011-06-08,2012-05-17
NCT100000119,Interventional,Phase 2,Withdrawn,57,2013-12-21,2015-02-08
NCT100000120,Interventional,Phase 1,Recruiting,233,2011-01-30,
NCT100000121,Interventional,Phase 3,Unknown status,10,2020-02-02,
NCT100000122,Interventional,Phase 1,Completed,6,2014-07-30,2016-03-23
NCT100000123,Interventional,Phase 1,"Active, not recruiting",69,2024-11-30,
NCT100000124,Interventional,Phase 3,Completed,414,2021-06-21,2023-12-03
NCT100000125,Interventional,Phase 3,Completed,426,2018-07-26,2021-02-18
NCT100000126,Interventional,Phase 3,Completed,8,2013-04-30,2015-04-10
NCT100000127,Interventional,Phase 3,Completed,615,2021-08-24,2023-05-10
NCT100000128,Interventional,Phase 4,Completed,155,2020-03-30,2022-06-26
NCT100000129,Interventional,Phase 2,Completed,44,2013-08-06,2015-06-30
NCT100000130,Interventional,Phase 3,Completed,147,2017-11-16,2020-03-29
NCT100000131,Interventional,Phase 1,Withdrawn,284,2013-03-06,2013-11-09
NCT100000132,Interventional,Phase 1,Completed,61,2021-06-30,2024-07-27
NCT100000133,Interventional,Phase 3,Unknown status,134,2018-08-16,
NCT100000134,Interventional,Phase 2,Completed,980,2018-02-10,2020-06-01
NCT100000135,Interventional,Phase 1,Recruiting,19,2015-07-28,
NCT100000136,Interventional,Phase 2,Completed,52,2020-02-29,2022-08-29
NCT100000137,Interventional,Phase 3,Withdrawn,5,2014-04-07,2014-12-07
NCT100000138,Interventional,Phase 2,Terminated,824,2017-04-10,2018-10-02
NCT100000139,Interventional,Phase 1,Completed,32,2019-06-27,2021-05-17
NCT100000140,Interventional,Phase 2,"Active, not recruiting",35,2015-09-29,
NCT100000141,Interventional,Phase 1,Completed,13,2019-03-28,2021-05-01
NCT100000142,Interventional,Phase 2,Recruiting,467,2018-09-09,
NCT100000143,Interventional,Phase 2,Completed,112,2024-04-17,2026-07-04
NCT100000144,Interventional,Phase 3,"Active, not recruiting",93,2022-12-30,
NCT100000145,Interventional,Phase 2,Withdrawn,193,2023-07-24,2025-01-09
NCT100000146,Interventional,Phase 3,Completed,96,2015-03-18,2017-06-29
NCT100000147,Interventional,Phase 2,Completed,61,2022-02-20,2023-05-19
NCT100000148,Interventional,Phase 2,Completed,167,2016-08-01,2018-05-16
NCT100000149,Interventional,Phase 2,"Active, not recruiting",48,2016-06-22,
NCT100000150,Interventional,Phase 2,"Active, not recruiting",94,2025-12-06,
NCT100000151,Interventional,Phase 2,Terminated,153,2015-08-31,2016-02-15
NCT100000152,Interventional,Phase 1,Terminated,81,2020-08-11,2021-10-23
NCT100000153,Interventional,Phase 2,Completed,23,2013-06-16,2016-06-23
NCT100000154,Interventional,Phase 2,Recruiting,18,2019-05-04,
NCT100000155,Interventional,Phase 2,Terminated,72,2025-11-07,2025-12-31
NCT100000156,Interventional,Phase 3,Withdrawn,64,2012-03-14,2013-04-29
NCT100000157,Interventional,Phase 2,"Active, not recruiting",30,2013-04-05,
NCT100000158,Interventional,Phase 1,Unknown status,151,2024-08-09,
NCT100000159,Interventional,Phase 3,Recruiting,187,2014-06-29,
NCT100000160,Interventional,Phase 2,Recruiting,336,2018-05-09,
NCT100000161,Interventional,Phase 2,Completed,20,2018-05-26,2019-09-28
NCT100000162,Interventional,Phase 3,Terminated,43,2020-07-24,2021-06-23
NCT100000163,Interventional,Phase 1,Terminated,15,2011-11-15,2013-01-08
NCT100000164,Interventional,Phase 3,Withdrawn,170,2023-09-01,2024-10-23
NCT100000165,Interventional,Phase 1,Unknown status,63,2018-07-28,
NCT100000166,Interventional,Phase 1,Recruiting,27,2019-10-22,
NCT100000167,Interventional,Phase 2,"Active, not recruiting",17,2016-02-09,
NCT100000168,Interventional,Phase 2,Completed,82,2016-12-23,2019-04-09
NCT100000169,Interventional,Phase 2,Completed,210,2016-01-31,2018-03-22
NCT100000170,Interventional,Phase 1,Unknown status,111,2017-09-21,
NCT100000171,Interventional,Phase 3,Completed,55,2019-12-23,2022-09-04
NCT100000172,Interventional,Phase 3,Recruiting,16,2020-07-03,
NCT100000173,Interventional,Phase 3,Recruiting,378,2020-04-21,
NCT100000174,Interventional,Phase 4,Recruiting,136,2022-06-03,
NCT100000175,Interventional,Phase 1,Completed,12,2021-10-22,2023-09-10
NCT100000176,Interventional,Phase 1,Terminated,662,2012-09-17,2013-02-28
NCT100000177,Interventional,Phase 3,Completed,574,2020-10-23,2022-08-04
NCT100000178,Interventional,Phase 1,"Active, not recruiting",6,2022-01-02,
NCT100000179,Interventional,Phase 1,Completed,55,2011-08-13,2013-05-10
NCT100000180,Interventional,Phase 1,Terminated,11,2017-12-22,2019-01-08
NCT100000181,Interventional,Phase 3,Completed,43,2012-04-09,2014-05-09
NCT100000182,Interventional,Phase 2,Recruiting,150,2023-05-04,
NCT100000183,Interventional,Phase 2,Completed,106,2016-08-03,2018-03-18
NCT100000184,Interventional,Phase 2,Completed,150,2021-09-12,2023-06-10
NCT100000185,Interventional,Phase 1,Completed,118,2023-01-05,2024-09-11
NCT100000186,Interventional,Phase 1,Terminated,56,2023-11-14,2024-10-17
NCT100000187,Interventional,Phase 4,Completed,28,2011-06-12,2013-07-01
NCT100000188,Interventional,Phase 2,Terminated,5,2014-07-25,2016-05-30
NCT100000189,Interventional,Phase 1,"Active, not recruiting",9,2015-06-26,
NCT100000190,Interventional,Phase 2,"Active, not recruiting",38,2016-12-14,
NCT100000191,Interventional,Phase 1,"Active, not recruiting",13,2024-04-18,
NCT100000192,Interventional,Phase 3,Completed,164,2012-04-09,2013-12-07
NCT100000193,Interventional,Phase 2,Completed,109,2025-12-24,2025-12-31
NCT100000194,Interventional,Phase 2,Completed,12,2019-08-16,2021-12-31
NCT100000195,Interventional,Phase 4,Recruiting,73,2018-06-15,
NCT100000196,Interventional,Phase 3,Completed,25,2016-06-24,2019-06-16
NCT100000197,Interventional,Phase 1,Completed,110,2017-10-19,2020-12-23
NCT100000198,Interventional,Phase 3,Completed,88,2025-05-21,2025-12-31
NCT100000199,Interventional,Phase 2,Completed,12,2024-06-14,2025-10-27
NCT100000200,Interventional,Phase 1,Completed,5,2018-12-10,2021-09-08
NCT100000201,Interventional,Phase 2,Recruiting,10,2015-06-29,
NCT100000202,Interventional,Phase 2,Completed,134,2015-11-02,2020-08-30
NCT100000203,Interventional,Phase 2,Completed,44,2022-11-17,2025-10-26
NCT100000204,Interventional,Phase 1,Terminated,28,2025-12-01,2026-07-25
NCT100000205,Interventional,Phase 1,Terminated,456,2019-06-07,2020-01-26
NCT100000206,Interventional,Phase 2,Completed,67,2018-09-09,2021-10-06
NCT100000207,Interventional,Phase 4,Withdrawn,36,2012-07-18,2012-12-16
NCT100000208,Interventional,Phase 1,Terminated,71,2017-10-29,2019-03-25
NCT100000209,Interventional,Phase 4,Completed,50,2012-09-03,2015-12-06
NCT100000210,Interventional,Phase 3,Completed,109,2014-02-08,2016-06-13
NCT100000211,Interventional,Phase 1,Completed,201,2011-01-10,2012-06-25
NCT100000212,Interventional,Phase 2,Completed,22,2018-08-15,2020-01-04
NCT100000213,Interventional,Phase 1,"Active, not recruiting",15,2022-09-16,
NCT100000214,Interventional,Phase 2,Recruiting,276,2014-11-27,
NCT100000215,Interventional,Phase 3,Completed,16,2014-08-21,2016-07-24
NCT100000216,Interventional,Phase 4,Completed,217,2015-12-17,2017-08-12
NCT100000217,Interventional,Phase 4,Completed,96,2021-09-02,2024-06-12
NCT100000218,Interventional,Phase 2,Recruiting,66,2024-10-12,
NCT100000219,Interventional,Phase 2,Completed,179,2013-10-28,2015-03-12
NCT100000220,Interventional,Phase 2,Completed,299,2014-08-16,2016-04-02
NCT100000221,Interventional,Phase 1,Completed,174,2011-01-26,2014-12-07
NCT100000222,Interventional,Phase 3,"Active, not recruiting",17,2022-08-05,
NCT100000223,Interventional,Phase 2,Completed,63,2014-10-24,2016-06-11
NCT100000224,Interventional,Phase 1,Completed,225,2025-10-07,2025-12-31
NCT100000225,Interventional,Phase 3,"Active, not recruiting",94,2022-12-27,
NCT100000226,Interventional,Phase 2,Completed,186,2014-03-31,2017-02-11
NCT100000227,Interventional,Phase 1,Recruiting,11,2011-06-13,
NCT100000228,Interventional,Phase 2,Recruiting,47,2011-04-15,
NCT100000229,Interventional,Phase 2,Completed,622,2021-11-16,2025-10-26
NCT100000230,Interventional,Phase 3,Completed,295,2024-05-07,2026-11-09
NCT100000231,Interventional,Phase 4,Completed,103,2021-05-24,2023-10-10
NCT100000232,Interventional,Phase 3,"Active, not recruiting",82,2011-01-22,
NCT100000233,Interventional,Phase 3,Unknown status,166,2025-11-23,
NCT100000234,Interventional,Phase 2,Completed,119,2012-11-26,2015-03-11
NCT100000235,Interventional,Phase 3,Recruiting,45,2020-04-29,
NCT100000236,Interventional,Phase 3,Withdrawn,21,2011-10-04,2013-01-03
NCT100000237,Interventional,Phase 1,Terminated,46,2023-07-17,2024-11-12
NCT100000238,Interventional,Phase 3,Completed,94,2024-02-09,2026-01-27
NCT100000239,Interventional,Phase 2,"Active, not recruiting",139,2016-12-10,
NCT100000240,Interventional,Phase 2,Completed,215,2021-11-19,2024-01-16
NCT100000241,Interventional,Phase 2,Completed,71,2017-04-15,2019-05-26
NCT100000242,Interventional,Phase 2,Terminated,29,2018-10-20,2019-06-21
NCT100000243,Interventional,Phase 1,Completed,119,2016-12-03,2019-03-23
NCT100000244,Interventional,Phase 2,Withdrawn,329,2013-09-04,2014-03-18
NCT100000245,Interventional,Phase 1,Completed,93,2022-01-01,2024-02-11
NCT100000246,Interventional,Phase 4,Completed,5,2022-02-15,2024-10-08
NCT100000247,Interventional,Phase 1,Recruiting,58,2012-07-27,
NCT100000248,Interventional,Phase 2,Terminated,17,2023-12-25,2024-09-30
NCT100000249,Interventional,Phase 2,Completed,35,2022-02-25,2026-04-27
NCT100000250,Interventional,Phase 3,Completed,80,2021-10-15,2024-05-21
NCT100000251,Interventional,Phase 4,Completed,239,2020-02-17,2022-01-03
NCT100000252,Interventional,Phase 3,Completed,51,2025-01-11,2025-12-31
NCT100000253,Interventional,Phase 1,Completed,91,2016-11-28,2019-04-05
NCT100000254,Interventional,Phase 3,Completed,193,2016-02-03,2017-12-26
NCT100000255,Interventional,Phase 3,Completed,60,2022-04-20,2024-05-07
NCT100000256,Interventional,Phase 3,Unknown status,32,2013-10-14,
NCT100000257,Interventional,Phase 1,Withdrawn,85,2018-01-09,2018-12-15
NCT100000258,Interventional,Phase 1,Completed,96,2025-05-22,2026-06-30
NCT100000259,Interventional,Phase 2,Completed,69,2014-10-14,2016-12-18
NCT100000260,Interventional,Phase 1,Terminated,267,2024-07-10,2024-12-26
NCT100000261,Interventional,Phase 3,Completed,125,2012-01-29,2015-09-14
NCT100000262,Interventional,Phase 1,Completed,12,2012-06-15,2014-01-06
NCT100000263,Interventional,Phase 3,Unknown status,57,2013-06-24,
NCT100000264,Interventional,Phase 2,Completed,300,2013-05-28,2015-03-21
NCT100000265,Interventional,Phase 2,Completed,15,2015-06-10,2017-12-31
NCT100000266,Interventional,Phase 1,Completed,515,2022-08-01,2024-04-05
NCT100000267,Interventional,Phase 1,Recruiting,20,2024-06-09,
NCT100000268,Interventional,Phase 3,Unknown status,26,2014-12-20,
NCT100000269,Interventional,Phase 3,"Active, not recruiting",142,2013-09-10,
NCT100000270,Interventional,Phase 1,Terminated,25,2017-09-30,2019-01-25
NCT100000271,Interventional,Phase 2,Unknown status,29,2024-02-12,
NCT100000272,Interventional,Phase 4,Completed,300,2018-12-17,2020-04-26
NCT100000273,Interventional,Phase 2,Withdrawn,103,2025-02-05,2025-10-13
NCT100000274,Interventional,Phase 3,"Active, not recruiting",47,2018-05-11,
NCT100000275,Interventional,Phase 1,Terminated,68,2019-01-18,2019-11-20
NCT100000276,Interventional,Phase 2,Terminated,234,2025-04-13,2025-12-31
NCT100000277,Interventional,Phase 1,Completed,23,2019-04-26,2021-05-05
NCT100000278,Interventional,Phase 2,Recruiting,114,2012-10-13,
NCT100000279,Interventional,Phase 3,Completed,158,2015-10-28,2019-05-27
NCT100000280,Interventional,Phase 2,Completed,132,2018-12-23,2021-08-03
NCT100000281,Interventional,Phase 4,Recruiting,22,2016-02-14,
NCT100000282,Interventional,Phase 2,Completed,51,2016-02-19,2020-10-04
NCT100000283,Interventional,Phase 4,Unknown status,577,2022-11-26,
NCT100000284,Interventional,Phase 1,"Active, not recruiting",28,2024-11-08,
NCT100000285,Interventional,Phase 1,Completed,86,2020-08-01,2021-11-21
NCT100000286,Interventional,Phase 1,Terminated,260,2011-12-06,2012-10-01
NCT100000287,Interventional,Phase 2,Terminated,116,2020-06-25,2021-08-31
NCT100000288,Interventional,Phase 4,Recruiting,320,2021-11-22,
NCT100000289,Interventional,Phase 3,Completed,17,2020-11-24,2023-10-01
NCT100000290,Interventional,Phase 1,Terminated,117,2016-02-21,2017-04-22
NCT100000291,Interventional,Phase 1,Completed,9,2011-08-09,2013-12-13
NCT100000292,Interventional,Phase 2,Completed,63,2025-11-16,2025-12-31
NCT100000293,Interventional,Phase 2,Unknown status,514,2025-03-18,
NCT100000294,Interventional,Phase 2,Withdrawn,79,2022-01-28,2023-02-15
NCT100000295,Interventional,Phase 3,Completed,71,2018-08-19,2021-10-29
NCT100000296,Interventional,Phase 3,Completed,55,2016-02-19,2019-02-25
NCT100000297,Interventional,Phase 2,Completed,194,2012-05-17,2014-05-16
NCT100000298,Interventional,Phase 4,Recruiting,11,2011-04-19,
NCT100000299,Interventional,Phase 2,Terminated,29,2013-12-19,2014-05-31
NCT100000300,Interventional,Phase 2,Terminated,95,2021-01-06,2021-10-19
NCT100000301,Interventional,Phase 1,Terminated,133,2015-04-03,2016-03-14
NCT100000302,Interventional,Phase 3,Completed,7,2019-02-17,2021-05-18
NCT100000303,Interventional,Phase 2,"Active, not recruiting",89,2014-10-29,
NCT100000304,Interventional,Phase 1,Completed,240,2015-10-22,2018-01-18
NCT100000305,Interventional,Phase 1,Unknown status,49,2011-05-08,
NCT100000306,Interventional,Phase 2,Completed,228,2024-02-15,2026-01-02
NCT100000307,Interventional,Phase 1,Terminated,30,2023-10-23,2025-02-13
NCT100000308,Interventional,Phase 4,Completed,37,2020-06-25,2022-04-11
NCT100000309,Interventional,Phase 3,Completed,29,2024-11-08,2025-12-31
NCT100000310,Interventional,Phase 2,Unknown status,62,2022-06-20,
NCT100000311,Interventional,Phase 4,Recruiting,18,2018-03-17,
NCT100000312,Interventional,Phase 4,Completed,106,2014-08-08,2017-04-05
NCT100000313,Interventional,Phase 4,Completed,75,2019-10-15,2023-06-26
NCT100000314,Interventional,Phase 1,Completed,42,2023-11-28,2025-12-14
NCT100000315,Interventional,Phase 3,Terminated,332,2022-12-17,2023-12-10
NCT100000316,Interventional,Phase 3,"Active, not recruiting",40,2012-09-25,
NCT100000317,Interventional,Phase 3,Completed,31,2025-12-23,2025-12-31
NCT100000318,Interventional,Phase 1,Unknown status,26,2020-04-17,
NCT100000319,Interventional,Phase 1,Recruiting,74,2025-09-16,
NCT100000320,Interventional,Phase 1,Unknown status,93,2013-01-25,
NCT100000321,Interventional,Phase 2,Unknown status,102,2015-01-22,
NCT100000322,Interventional,Phase 2,"Active, not recruiting",9,2020-12-13,
NCT100000323,Interventional,Phase 3,Terminated,123,2023-06-27,2024-05-23
NCT100000324,Interventional,Phase 3,Completed,224,2018-07-06,2021-02-23
NCT100000325,Interventional,Phase 2,Completed,83,2025-12-27,2025-12-31
NCT100000326,Interventional,Phase 3,"Active, not recruiting",375,2025-08-25,
NCT100000327,Interventional,Phase 2,Completed,182,2017-12-01,2020-08-28
NCT100000328,Interventional,Phase 2,Recruiting,131,2016-04-19,
NCT100000329,Interventional,Phase 2,Unknown status,36,2023-06-25,
NCT100000330,Interventional,Phase 2,Recruiting,156,2017-04-01,
NCT100000331,Interventional,Phase 4,"Active, not recruiting",65,2022-03-26,
NCT100000332,Interventional,Phase 1,Completed,40,2018-05-15,2020-07-14
NCT100000333,Interventional,Phase 3,Completed,59,2012-06-10,2015-03-20
NCT100000334,Interventional,Phase 2,Completed,54,2011-10-17,2013-07-25
NCT100000335,Interventional,Phase 4,Completed,38,2011-07-10,2015-08-07
NCT100000336,Interventional,Phase 1,Terminated,8,2013-03-15,2013-09-19
NCT100000337,Interventional,Phase 1,Completed,440,2023-04-15,2025-04-04
NCT100000338,Interventional,Phase 1,Completed,57,2014-11-11,2016-11-19
NCT100000339,Interventional,Phase 2,Completed,5,2017-12-20,2019-03-17
NCT100000340,Interventional,Phase 2,Terminated,199,2022-04-09,2023-05-18
NCT100000341,Interventional,Phase 2,Completed,294,2013-08-18,2016-01-09
NCT100000342,Interventional,Phase 3,Completed,47,2013-01-21,2016-02-19
NCT100000343,Interventional,Phase 3,Withdrawn,489,2024-02-15,2024-08-11
NCT100000344,Interventional,Phase 2,Completed,59,2014-04-24,2016-05-21
NCT100000345,Interventional,Phase 4,Completed,18,2019-06-30,2024-07-07
NCT100000346,Interventional,Phase 2,Completed,36,2011-05-26,2012-12-18
NCT100000347,Interventional,Phase 3,Completed,15,2014-11-26,2017-05-04
NCT100000348,Interventional,Phase 1,Recruiting,106,2019-06-02,
NCT100000349,Interventional,Phase 2,Completed,145,2015-01-22,2016-07-19
NCT100000350,Interventional,Phase 3,Completed,186,2021-02-23,2023-08-22
NCT100000351,Interventional,Phase 3,Completed,137,2024-06-01,2025-12-31
NCT100000352,Interventional,Phase 4,Completed,192,2018-01-18,2020-03-15
NCT100000353,Interventional,Phase 1,Completed,857,2014-03-24,2015-08-05
NCT100000354,Interventional,Phase 1,Unknown status,14,2014-03-18,
NCT100000355,Interventional,Phase 3,Completed,51,2014-02-07,2016-12-07
NCT100000356,Interventional,Phase 4,Completed,23,2023-11-26,2025-10-11
NCT100000357,Interventional,Phase 1,Completed,79,2016-05-11,2019-03-16
NCT100000358,Interventional,Phase 2,Terminated,39,2024-04-28,2024-09-04
NCT100000359,Interventional,Phase 2,Completed,6,2012-09-23,2014-04-10
NCT100000360,Interventional,Phase 1,Recruiting,274,2022-04-24,
NCT100000361,Interventional,Phase 2,Terminated,221,2018-11-21,2019-06-26
NCT100000362,Interventional,Phase 1,Terminated,26,2015-11-10,2016-12-05
NCT100000363,Interventional,Phase 3,Recruiting,13,2013-07-22,
NCT100000364,Interventional,Phase 2,Completed,99,2018-06-24,2020-12-26
NCT100000365,Interventional,Phase 3,Unknown status,173,2012-12-02,
NCT100000366,Interventional,Phase 1,"Active, not recruiting",379,2013-11-24,
NCT100000367,Interventional,Phase 3,Completed,28,2023-12-28,2025-12-31
NCT100000368,Interventional,Phase 1,Completed,97,2017-06-21,2019-04-12
NCT100000369,Interventional,Phase 1,"Active, not recruiting",14,2016-11-14,
NCT100000370,Interventional,Phase 2,Recruiting,363,2017-10-06,
