nct_id,primary_condition
NCT100000247,Coronary Artery Disease
NCT100000248,Chronic Obstructive Pulmonary Disease
NCT100000249,Major Depressive Disorder
NCT100000250,Chronic Kidney Disease
NCT100000251,Hypertension
NCT100000252,Multiple Sclerosis
NCT100000253,Obesity
NCT100000254,Obesity
NCT100000255,Psoriasis
NCT100000256,HIV Infections
NCT100000257,Osteoarthritis
NCT100000258,Hypertension
NCT100000259,Major Depressive Disorder
NCT100000260,Non-Small Cell Lung Cancer
NCT100000261,Parkinson's Disease
NCT100000262,Hypertension
NCT100000263,Hypertension
NCT100000264,Asthma
NCT100000265,Parkinson's Disease
NCT100000266,Hypertension
NCT100000267,Obesity
NCT100000268,HIV Infections
NCT100000269,Osteoarthritis
NCT100000270,Ulcerative Colitis
NCT100000271,Ulcerative Colitis
NCT100000272,Non-Small Cell Lung Cancer
NCT100000273,Rheumatoid Arthritis
NCT100000274,Osteoarthritis
NCT100000275,Parkinson's Disease
NCT100000276,HIV Infections
NCT100000277,Multiple Sclerosis
NCT100000278,Psoriasis
NCT100000279,Non-Small Cell Lung Cancer
NCT100000280,Obesity
NCT100000281,Chronic Obstructive Pulmonary Disease
NCT100000282,Hypertension
NCT100000283,Type 2 Diabetes Mellitus
NCT100000284,Coronary Artery Disease
NCT100000285,Chronic Kidney Disease
NCT100000286,Hypertension
NCT100000287,Major Depressive Disorder
NCT100000288,Psoriasis
NCT100000289,Type 2 Diabetes Mellitus
NCT100000290,Ulcerative Colitis
NCT100000291,Coronary Artery Disease
NCT100000292,Breast Cancer
NCT100000293,Breast Cancer
NCT100000294,Alzheimer's Disease
NCT100000295,Chronic Kidney Disease
NCT100000296,Breast Cancer
NCT100000297,Schizophrenia
NCT100000298,Ulcerative Colitis
NCT100000299,Asthma
NCT100000300,Non-Small Cell Lung Cancer
NCT100000301,Coronary Artery Disease
NCT100000302,Non-Small Cell Lung Cancer
NCT100000303,Rheumatoid Arthritis
NCT100000304,Parkinson's Disease
NCT100000305,Major Depressive Disorder
NCT100000306,Alzheimer's Disease
NCT100000307,Breast Cancer
NCT100000308,Chronic Obstructive Pulmonary Disease
NCT100000309,Hypertension
NCT100000310,Asthma
NCT100000311,Coronary Artery Disease
NCT100000312,Multiple Sclerosis
NCT100000313,HIV Infections
NCT100000314,Asthma
NCT100000315,Schizophrenia
NCT100000316,Chronic Kidney Disease
NCT100000317,Breast Cancer
NCT100000318,Osteoarthritis
NCT100000319,HIV Infections
NCT100000320,Major Depressive Disorder
NCT100000321,Schizophrenia
NCT100000322,Chronic Obstructive Pulmonary Disease
NCT100000323,Ulcerative Colitis
NCT100000324,Ulcerative Colitis
NCT100000325,Chronic Obstructive Pulmonary Disease
NCT100000326,HIV Infections
NCT100000327,Coronary Artery Disease
NCT100000328,Obesity
NCT100000329,Parkinson's Disease
NCT100000330,Obesity
NCT100000331,Migraine
NCT100000332,Rheumatoid Arthritis
NCT100000333,HIV Infections
NCT100000334,Chronic Obstructive Pulmonary Disease
NCT100000335,Breast Cancer
NCT100000336,Type 2 Diabetes Mellitus
NCT100000337,Type 2 Diabetes Mellitus
NCT100000338,Osteoarthritis
NCT100000339,Ulcerative Colitis
NCT100000340,Asthma
NCT100000341,Ulcerative Colitis
NCT100000342,Parkinson's Disease
NCT100000343,Migraine
NCT100000344,Hypertension
NCT100000345,Type 2 Diabetes Mellitus
NCT100000346,Osteoarthritis
NCT100000347,Breast Cancer
NCT100000348,Parkinson's Disease
NCT100000349,Migraine
NCT100000350,Parkinson's Disease
NCT100000351,Osteoarthritis
NCT100000352,Osteoarthritis
NCT100000353,Multiple Sclerosis
NCT100000354,HIV Infections
NCT100000355,Migraine
NCT100000356,Type 2 Diabetes Mellitus
NCT100000357,Ulcerative Colitis
NCT100000358,Parkinson's Disease
NCT100000359,Coronary Artery Disease
NCT100000360,Major Depressive Disorder
NCT100000361,Non-Small Cell Lung Cancer
NCT100000362,Alzheimer's Disease
NCT100000363,Chronic Kidney Disease
NCT100000364,Obesity
NCT100000365,Type 2 Diabetes Mellitus
NCT100000366,Hypertension
NCT100000367,Multiple Sclerosis
NCT100000368,Hypertension
NCT100000369,Migraine
NCT100000370,Ulcerative Colitis
NCT100000371,Schizophrenia
NCT100000372,Psoriasis
NCT100000373,Hypertension
NCT100000374,Rheumatoid Arthritis
NCT100000375,HIV Infections
NCT100000376,Obesity
NCT100000377,Multiple Sclerosis
NCT100000378,Migraine
NCT100000379,Asthma
NCT100000380,Obesity
NCT100000381,Parkinson's Disease
NCT100000382,Schizophrenia
NCT100000383,Schizophrenia
NCT100000384,Chronic Kidney Disease
NCT100000385,Alzheimer's Disease
NCT100000386,Migraine
NCT100000387,Chronic Obstructive Pulmonary Disease
NCT100000388,Rheumatoid Arthritis
NCT100000389,Schizophrenia
NCT100000390,Type 2 Diabetes Mellitus
NCT100000391,Hypertension
NCT100000392,Type 2 Diabetes Mellitus
NCT100000393,Obesity
NCT100000394,Osteoarthritis
NCT100000395,Osteoarthritis
NCT100000396,Hypertension
NCT100000397,Chronic Obstructive Pulmonary Disease
NCT100000398,Multiple Sclerosis
NCT100000399,Asthma
NCT100000400,Alzheimer's Disease
NCT100000401,Chronic Obstructive Pulmonary Disease
NCT100000402,Hypertension
NCT100000403,HIV Infections
NCT100000404,Chronic Kidney Disease
NCT100000405,Coronary Artery Disease
NCT100000406,Psoriasis
NCT100000407,Obesity
NCT100000408,Asthma
NCT100000409,Psoriasis
NCT100000410,Parkinson's Disease
NCT100000411,Hypertension
NCT100000412,Migraine
NCT100000413,Migraine
NCT100000414,Type 2 Diabetes Mellitus
NCT100000415,Alzheimer's Disease
NCT100000416,Hypertension
NCT100000417,Osteoarthritis
NCT100000418,Chronic Obstructive Pulmonary Disease
NCT100000419,Migraine
NCT100000420,Ulcerative Colitis
NCT100000421,Type 2 Diabetes Mellitus
NCT100000422,Multiple Sclerosis
NCT100000423,Non-Small Cell Lung Cancer
NCT100000424,Ulcerative Colitis
NCT100000425,Multiple Sclerosis
NCT100000426,Psoriasis
NCT100000427,Multiple Sclerosis
NCT100000428,Multiple Sclerosis
NCT100000429,Asthma
NCT100000430,Rheumatoid Arthritis
NCT100000431,Psoriasis
NCT100000432,Alzheimer's Disease
NCT100000433,Rheumatoid Arthritis
NCT100000434,Major Depressive Disorder
NCT100000435,Major Depressive Disorder
NCT100000436,Rheumatoid Arthritis
NCT100000437,Chronic Obstructive Pulmonary Disease
NCT100000438,Chronic Obstructive Pulmonary Disease
NCT100000439,Psoriasis
NCT100000440,Schizophrenia
NCT100000441,Coronary Artery Disease
NCT100000442,Type 2 Diabetes Mellitus
NCT100000443,Parkinson's Disease
NCT100000444,Multiple Sclerosis
NCT100000445,Parkinson's Disease
NCT100000446,Chronic Obstructive Pulmonary Disease
NCT100000447,Ulcerative Colitis
NCT100000448,Schizophrenia
NCT100000449,Rheumatoid Arthritis
NCT100000450,Coronary Artery Disease
NCT100000451,Major Depressive Disorder
NCT100000452,Rheumatoid Arthritis
NCT100000453,Non-Small Cell Lung Cancer
NCT100000454,Major Depressive Disorder
NCT100000455,Osteoarthritis
NCT100000456,Asthma
NCT100000457,Ulcerative Colitis
NCT100000458,Chronic Kidney Disease
NCT100000459,Obesity
NCT100000460,Hypertension
NCT100000461,Ulcerative Colitis
NCT100000462,Coronary Artery Disease
NCT100000463,Coronary Artery Disease
NCT100000464,Chronic Obstructive Pulmonary Disease
NCT100000465,Breast Cancer
NCT100000466,Major Depressive Disorder
NCT100000467,Rheumatoid Arthritis
NCT100000468,Psoriasis
NCT100000469,Chronic Kidney Disease
NCT100000470,Non-Small Cell Lung Cancer
NCT100000471,HIV Infections
NCT100000472,Major Depressive Disorder
NCT100000473,Chronic Obstructive Pulmonary Disease
NCT100000474,Coronary Artery Disease
NCT100000475,Alzheimer's Disease
NCT100000476,Asthma
NCT100000477,Major Depressive Disorder
NCT100000478,Alzheimer's Disease
NCT100000479,Hypertension
NCT100000480,HIV Infections
NCT100000481,Type 2 Diabetes Mellitus
NCT100000482,Psoriasis
NCT100000483,Schizophrenia
NCT100000484,Hypertension
NCT100000485,Migraine
NCT100000486,Parkinson's Disease
NCT100000487,Multiple Sclerosis
NCT100000488,Parkinson's Disease
NCT100000489,Alzheimer's Disease
NCT100000490,Alzheimer's Disease
NCT100000491,Osteoarthritis
NCT100000492,Psoriasis
NCT100000493,Parkinson's Disease
NCT100000494,Breast Cancer
NCT100000495,Asthma
NCT100000496,Rheumatoid Arthritis
NCT100000497,Chronic Kidney Disease
NCT100000498,Obesity
NCT100000499,Schizophrenia
NCT100000500,Coronary Artery Disease
NCT100000501,Osteoarthritis
NCT100000502,Osteoarthritis
NCT100000503,Multiple Sclerosis
NCT100000504,Multiple Sclerosis
NCT100000505,Major Depressive Disorder
NCT100000506,Obesity
NCT100000507,Alzheimer's Disease
NCT100000508,Major Depressive Disorder
NCT100000509,Hypertension
NCT100000510,Asthma
NCT100000511,Chronic Obstructive Pulmonary Disease
NCT100000512,Coronary Artery Disease
NCT100000513,Rheumatoid Arthritis
NCT100000514,Parkinson's Disease
NCT100000515,Major Depressive Disorder
NCT100000516,Migraine
NCT100000517,Non-Small Cell Lung Cancer
NCT100000518,Major Depressive Disorder
NCT100000519,Migraine
NCT100000520,Parkinson's Disease
NCT100000521,Osteoarthritis
NCT100000522,HIV Infections
NCT100000523,Obesity
NCT100000524,Schizophrenia
NCT100000525,Migraine
NCT100000526,Breast Cancer
NCT100000527,Major Depressive Disorder
NCT100000528,Psoriasis
NCT100000529,Non-Small Cell Lung Cancer
NCT100000530,Multiple Sclerosis
NCT100000531,Breast Cancer
NCT100000532,Major Depressive Disorder
NCT100000533,Obesity
NCT100000534,Ulcerative Colitis
NCT100000535,Chronic Kidney Disease
NCT100000536,Chronic Obstructive Pulmonary Disease
NCT100000537,Non-Small Cell Lung Cancer
NCT100000538,Alzheimer's Disease
NCT100000539,Psoriasis
NCT100000540,Breast Cancer
NCT100000541,Alzheimer's Disease
NCT100000542,Breast Cancer
NCT100000543,Coronary Artery Disease
NCT100000544,Coronary Artery Disease
NCT100000545,Psoriasis
NCT100000546,Hypertension
NCT100000547,Coronary Artery Disease
NCT100000548,Schizophrenia
NCT100000549,Coronary Artery Disease
NCT100000550,Osteoarthritis
NCT100000551,Parkinson's Disease
NCT100000552,Migraine
NCT100000553,Asthma
NCT100000554,Multiple Sclerosis
NCT100000555,Osteoarthritis
NCT100000556,Chronic Kidney Disease
NCT100000557,Chronic Obstructive Pulmonary Disease
NCT100000558,Asthma
NCT100000559,Type 2 Diabetes Mellitus
NCT100000560,Asthma
NCT100000561,Obesity
NCT100000562,Psoriasis
NCT100000563,Breast Cancer
NCT100000564,Major Depressive Disorder
NCT100000565,Coronary Artery Disease
NCT100000566,Rheumatoid Arthritis
NCT100000567,Chronic Kidney Disease
NCT100000568,Asthma
NCT100000569,Non-Small Cell Lung Cancer
NCT100000570,Breast Cancer
NCT100000571,Rheumatoid Arthritis
NCT100000572,Ulcerative Colitis
NCT100000573,Schizophrenia
NCT100000574,Non-Small Cell Lung Cancer
NCT100000575,Parkinson's Disease
NCT100000576,Hypertension
NCT100000577,Ulcerative Colitis
NCT100000578,Type 2 Diabetes Mellitus
NCT100000579,Multiple Sclerosis
NCT100000580,Rheumatoid Arthritis
NCT100000581,Non-Small Cell Lung Cancer
NCT100000582,Chronic Kidney Disease
NCT100000583,Type 2 Diabetes Mellitus
NCT100000584,Osteoarthritis
NCT100000585,Rheumatoid Arthritis
NCT100000586,Multiple Sclerosis
NCT100000587,Osteoarthritis
NCT100000588,Schizophrenia
NCT100000589,Chronic Kidney Disease
NCT100000590,Asthma
NCT100000591,Parkinson's Disease
NCT100000592,Chronic Kidney Disease
NCT100000593,Parkinson's Disease
NCT100000594,Chronic Kidney Disease
NCT100000595,Schizophrenia
NCT100000596,Psoriasis
NCT100000597,Psoriasis
NCT100000598,Psoriasis
NCT100000599,Major Depressive Disorder
NCT100000600,Obesity
NCT100000601,Chronic Obstructive Pulmonary Disease
NCT100000602,Osteoarthritis
NCT100000603,Parkinson's Disease
NCT100000604,Parkinson's Disease
NCT100000605,Rheumatoid Arthritis
NCT100000606,Obesity
NCT100000607,Rheumatoid Arthritis
NCT100000608,Multiple Sclerosis
NCT100000609,Coronary Artery Disease
NCT100000610,Asthma
NCT100000611,Parkinson's Disease
NCT100000612,Migraine
NCT100000613,Rheumatoid Arthritis
NCT100000614,Non-Small Cell Lung Cancer
NCT100000615,HIV Infections
NCT100000616,Migraine
NCT100000617,Type 2 Diabetes Mellitus
NCT100000618,Type 2 Diabetes Mellitus
NCT100000619,Psoriasis
NCT100000620,Asthma
NCT100000621,Chronic Kidney Disease
NCT100000622,Non-Small Cell Lung Cancer
NCT100000623,Multiple Sclerosis
NCT100000624,Osteoarthritis
NCT100000625,Asthma
NCT100000626,Hypertension
NCT100000627,Chronic Obstructive Pulmonary Disease
NCT100000628,Breast Cancer
NCT100000629,Alzheimer's Disease
NCT100000630,Coronary Artery Disease
NCT100000631,HIV Infections
NCT100000632,Major Depressive Disorder
NCT100000633,Chronic Obstructive Pulmonary Disease
NCT100000634,Obesity
NCT100000635,Hypertension
NCT100000636,Non-Small Cell Lung Cancer
NCT100000637,Major Depressive Disorder
NCT100000638,Type 2 Diabetes Mellitus
NCT100000639,Hypertension
NCT100000640,Asthma
NCT100000641,Rheumatoid Arthritis
NCT100000642,Breast Cancer
NCT100000643,Migraine
NCT100000644,Psoriasis
NCT100000645,Non-Small Cell Lung Cancer
NCT100000646,Migraine
NCT100000647,Osteoarthritis
NCT100000648,Coronary Artery Disease
NCT100000649,Coronary Artery Disease
NCT100000650,Asthma
NCT100000651,Psoriasis
NCT100000652,Coronary Artery Disease
NCT100000653,Rheumatoid Arthritis
NCT100000654,Breast Cancer
NCT100000655,Osteoarthritis
NCT100000656,Rheumatoid Arthritis
NCT100000657,Rheumatoid Arthritis
NCT100000658,Schizophrenia
NCT100000659,Rheumatoid Arthritis
NCT100000660,Type 2 Diabetes Mellitus
NCT100000661,HIV Infections
NCT100000662,Ulcerative Colitis
NCT100000663,Chronic Kidney Disease
NCT100000664,Alzheimer's Disease
NCT100000665,Schizophrenia
NCT100000666,Non-Small Cell Lung Cancer
NCT100000667,Alzheimer's Disease
NCT100000668,Osteoarthritis
NCT100000669,Osteoarthritis
NCT100000670,Asthma
NCT100000671,Breast Cancer
NCT100000672,Obesity
NCT100000673,Ulcerative Colitis
NCT100000674,Alzheimer's Disease
NCT100000675,Ulcerative Colitis
NCT100000676,Migraine
NCT100000677,Migraine
NCT100000678,Parkinson's Disease
NCT100000679,Osteoarthritis
NCT100000680,Migraine
NCT100000681,Major Depressive Disorder
NCT100000682,Major Depressive Disorder
NCT100000683,Psoriasis
NCT100000684,Migraine
NCT100000685,Osteoarthritis
NCT100000686,Asthma
NCT100000687,Type 2 Diabetes Mellitus
NCT100000688,Schizophrenia
NCT100000689,Chronic Kidney Disease
NCT100000690,Asthma
NCT100000691,Ulcerative Colitis
NCT100000692,Type 2 Diabetes Mellitus
NCT100000693,Psoriasis
NCT100000694,Hypertension
NCT100000695,Non-Small Cell Lung Cancer
NCT100000696,Non-Small Cell Lung Cancer
NCT100000697,Major Depressive Disorder
NCT100000698,HIV Infections
NCT100000699,HIV Infections
NCT100000700,Hypertension
NCT100000701,Multiple Sclerosis
NCT100000702,Alzheimer's Disease
NCT100000703,Asthma
NCT100000704,Chronic Obstructive Pulmonary Disease
NCT100000705,Chronic Obstructive Pulmonary Disease
NCT100000706,Hypertension
NCT100000707,Type 2 Diabetes Mellitus
NCT100000708,Parkinson's Disease
NCT100000709,Rheumatoid Arthritis
NCT100000710,Chronic Kidney Disease
NCT100000711,HIV Infections
NCT100000712,Psoriasis
NCT100000713,Schizophrenia
NCT100000714,Psoriasis
NCT100000715,Alzheimer's Disease
NCT100000716,Rheumatoid Arthritis
NCT100000717,Ulcerative Colitis
NCT100000718,Major Depressive Disorder
NCT100000719,Major Depressive Disorder
NCT100000720,Non-Small Cell Lung Cancer
NCT100000721,Osteoarthritis
NCT100000722,Ulcerative Colitis
NCT100000723,HIV Infections
NCT100000724,Osteoarthritis
NCT100000725,Coronary Artery Disease
NCT100000726,Psoriasis
NCT100000727,Alzheimer's Disease
NCT100000728,Chronic Kidney Disease
NCT100000729,Chronic Kidney Disease
NCT100000730,Chronic Kidney Disease
NCT100000731,Ulcerative Colitis
NCT100000732,HIV Infections
NCT100000733,Osteoarthritis
NCT100000734,Migraine
NCT100000735,Psoriasis
NCT100000736,Rheumatoid Arthritis
NCT100000737,Parkinson's Disease
NCT100000738,Chronic Obstructive Pulmonary Disease
NCT100000739,Chronic Kidney Disease
NCT100000740,Schizophrenia
NCT100000741,Hypertension
NCT100000742,Schizophrenia
NCT100000743,Major Depressive Disorder
NCT100000744,Rheumatoid Arthritis
NCT100000745,HIV Infections
NCT100000746,Hypertension
NCT100000747,Major Depressive Disorder
NCT100000748,Major Depressive Disorder
NCT100000749,Multiple Sclerosis
NCT100000750,Chronic Obstructive Pulmonary Disease
NCT100000751,Obesity
NCT100000752,Alzheimer's Disease
NCT100000753,Rheumatoid Arthritis
NCT100000754,Type 2 Diabetes Mellitus
NCT100000755,Alzheimer's Disease
NCT100000756,HIV Infections
NCT100000757,Parkinson's Disease
NCT100000758,Psoriasis
NCT100000759,Migraine
NCT100000760,Breast Cancer
NCT100000761,Psoriasis
NCT100000762,Parkinson's Disease
NCT100000763,Major Depressive Disorder
NCT100000764,Type 2 Diabetes Mellitus
NCT100000765,Chronic Kidney Disease
NCT100000766,Hypertension
NCT100000767,Type 2 Diabetes Mellitus
NCT100000768,Type 2 Diabetes Mellitus
NCT100000769,Ulcerative Colitis
NCT100000770,Osteoarthritis
NCT100000771,Psoriasis
NCT100000772,Ulcerative Colitis
NCT100000773,Multiple Sclerosis
NCT100000774,Alzheimer's Disease
NCT100000775,HIV Infections
NCT100000776,Ulcerative Colitis
NCT100000777,Multiple Sclerosis
NCT100000778,Ulcerative Colitis
NCT100000779,Osteoarthritis
NCT100000780,Chronic Obstructive Pulmonary Disease
NCT100000781,Osteoarthritis
NCT100000782,Osteoarthritis
NCT100000783,Obesity
NCT100000784,Schizophrenia
NCT100000785,Migraine
NCT100000786,Chronic Kidney Disease
NCT100000787,Coronary Artery Disease
NCT100000788,Type 2 Diabetes Mellitus
NCT100000789,Rheumatoid Arthritis
NCT100000790,Schizophrenia
NCT100000791,Multiple Sclerosis
NCT100000792,Psoriasis
NCT100000793,HIV Infections
NCT100000794,Hypertension
NCT100000795,Coronary Artery Disease
NCT100000796,Chronic Obstructive Pulmonary Disease
NCT100000797,Parkinson's Disease
NCT100000798,Osteoarthritis
NCT100000799,Schizophrenia
NCT100000800,Non-Small Cell Lung Cancer
NCT100000801,Chronic Kidney Disease
NCT100000802,Parkinson's Disease
NCT100000803,Alzheimer's Disease
NCT100000804,Psoriasis
NCT100000805,Type 2 Diabetes Mellitus
NCT100000806,Non-Small Cell Lung Cancer
NCT100000807,Schizophrenia
NCT100000808,Coronary Artery Disease
NCT100000809,Osteoarthritis
NCT100000810,Ulcerative Colitis
NCT100000811,Asthma
NCT100000812,Rheumatoid Arthritis
NCT100000813,Non-Small Cell Lung Cancer
NCT100000814,Schizophrenia
NCT100000815,Psoriasis
NCT100000816,Psoriasis
NCT100000817,Type 2 Diabetes Mellitus
NCT100000818,Chronic Obstructive Pulmonary Disease
NCT100000819,Parkinson's Disease
