nct_id,study_type,phase,overall_status,enrollment,start_date,completion_date,sponsor_type,sponsor_name,primary_condition,duration_days
NCT100000019,Interventional,Phase 2,Unknown status,24,2023-10-19,,Industry,Industry Sponsor #369,Ulcerative Colitis,
NCT100000020,Interventional,Phase 3,Completed,159,2011-11-16,2014-06-25,Industry,Industry Sponsor #321,Ulcerative Colitis,952
NCT100000021,Interventional,Phase 2,Recruiting,108,2019-05-10,,Industry,Industry Sponsor #277,Ulcerative Colitis,
NCT100000022,Interventional,Phase 2,Completed,63,2020-12-18,2023-07-31,Industry,Industry Sponsor #158,Alzheimer's Disease,955
NCT100000023,Interventional,Phase 4,Completed,33,2011-05-05,2012-12-19,Other,Other Sponsor #249,Migraine,594
NCT100000024,Interventional,Phase 1,Terminated,91,2013-06-02,2014-06-13,Industry,Industry Sponsor #136,Schizophrenia,376
NCT100000025,Interventional,Phase 2,Completed,80,2017-09-10,2019-08-29,Industry,Industry Sponsor #374,Coronary Artery Disease,718
NCT100000026,Interventional,Phase 4,Completed,8,2016-06-05,2017-12-31,Other,Other Sponsor #265,Alzheimer's Disease,574
NCT100000027,Interventional,Phase 1,Terminated,31,2024-08-17,2025-04-17,Industry,Industry Sponsor #118,Breast Cancer,243
NCT100000028,Interventional,Phase 1,Completed,137,2022-09-05,2024-03-09,Other,Other Sponsor #17,Hypertension,551
NCT100000029,Interventional,Phase 1,Completed,35,2012-06-12,2015-04-01,Other,Other Sponsor #68,Osteoarthritis,1023
NCT100000030,Interventional,Phase 2,Recruiting,73,2015-08-04,,Other,Other Sponsor #98,Obesity,
NCT100000031,Interventional,Phase 2,"Active, not recruiting",17,2013-08-26,,Industry,Industry Sponsor #28,Major Depressive Disorder,
NCT100000032,Interventional,Phase 2,"Active, not recruiting",48,2022-05-18,,Industry,Industry Sponsor #128,Migraine,
NCT100000033,Interventional,Phase 2,Completed,92,2017-06-25,2021-04-08,Industry,Industry Sponsor #128,Hypertension,1383
NCT100000034,Interventional,Phase 3,Completed,68,2012-04-07,2014-12-07,Other,Other Sponsor #334,Breast Cancer,974
NCT100000035,Interventional,Phase 1,Completed,135,2015-12-12,2019-05-29,Industry,Industry Sponsor #206,Asthma,1264
NCT100000036,Interventional,Phase 4,Recruiting,31,2013-07-23,,Industry,Industry Sponsor #233,Migraine,
NCT100000037,Interventional,Phase 3,Completed,18,2019-09-19,2022-09-26,Industry,Industry Sponsor #112,Osteoarthritis,1103
NCT100000038,Interventional,Phase 3,Completed,27,2025-05-17,2025-12-31,Industry,Industry Sponsor #258,Ulcerative Colitis,228
NCT100000039,Interventional,Phase 4,Completed,2568,2018-04-19,2020-12-16,Industry,Industry Sponsor #305,Alzheimer's Disease,972
NCT100000040,Interventional,Phase 2,Terminated,76,2018-02-06,2018-09-19,Other,Other Sponsor #297,Schizophrenia,225
NCT100000041,Interventional,Phase 1,Terminated,45,2017-08-01,2018-12-14,Other,Other Sponsor #162,Chronic Obstructive Pulmonary Disease,500
NCT100000042,Interventional,Phase 1,Withdrawn,27,2013-02-07,2013-06-19,Industry,Industry Sponsor #235,Hypertension,132
NCT100000043,Interventional,Phase 1,Terminated,77,2015-03-21,2017-02-10,Other,Other Sponsor #52,Chronic Obstructive Pulmonary Disease,692
NCT100000044,Interventional,Phase 2,Completed,50,2012-08-13,2014-03-02,Industry,Industry Sponsor #36,Psoriasis,566
NCT100000045,Interventional,Phase 1,Recruiting,781,2019-04-28,,Other,Other Sponsor #314,Ulcerative Colitis,
NCT100000046,Interventional,Phase 2,Unknown status,155,2023-06-12,,Other,Other Sponsor #69,Major Depressive Disorder,
NCT100000047,Interventional,Phase 3,Completed,262,2015-10-04,2018-07-23,Industry,Industry Sponsor #108,Chronic Obstructive Pulmonary Disease,1023
NCT100000048,Interventional,Phase 2,"Active, not recruiting",42,2014-11-03,,Industry,Industry Sponsor #27,Obesity,
NCT100000049,Interventional,Phase 3,Completed,53,2013-06-20,2015-03-31,Industry,Industry Sponsor #67,Non-Small Cell Lung Cancer,649
NCT100000050,Interventional,Phase 3,Completed,508,2024-05-16,2026-12-29,NIH,NIH Sponsor #5,Rheumatoid Arthritis,957
NCT100000051,Interventional,Phase 2,Terminated,279,2018-10-13,2019-10-08,Other,Other Sponsor #76,Type 2 Diabetes Mellitus,360
NCT100000052,Interventional,Phase 2,Recruiting,93,2016-08-08,,Other,Other Sponsor #21,Chronic Obstructive Pulmonary Disease,
NCT100000053,Interventional,Phase 3,Completed,111,2022-03-14,2023-12-24,Industry,Industry Sponsor #209,Rheumatoid Arthritis,650
NCT100000054,Interventional,Phase 4,"Active, not recruiting",470,2012-11-03,,Other,Other Sponsor #13,Multiple Sclerosis,
NCT100000055,Interventional,Phase 3,Terminated,57,2013-04-19,2015-02-25,Industry,Industry Sponsor #377,Non-Small Cell Lung Cancer,677
NCT100000056,Interventional,Phase 3,"Active, not recruiting",32,2013-12-12,,Industry,Industry Sponsor #241,HIV Infections,
NCT100000057,Interventional,Phase 2,"Active, not recruiting",33,2022-08-29,,Other,Other Sponsor #115,Chronic Obstructive Pulmonary Disease,
NCT100000058,Interventional,Phase 2,Completed,74,2018-07-06,2021-01-10,Industry,Industry Sponsor #396,Ulcerative Colitis,919
NCT100000059,Interventional,Phase 2,Terminated,122,2012-12-23,2013-05-17,Other,Other Sponsor #15,Non-Small Cell Lung Cancer,145
NCT100000060,Interventional,Phase 1,Completed,11,2021-05-31,2022-12-14,Other,Other Sponsor #56,Psoriasis,562
NCT100000061,Interventional,Phase 3,Completed,19,2021-09-24,2024-04-02,Industry,Industry Sponsor #262,Osteoarthritis,921
NCT100000062,Interventional,Phase 1,Completed,51,2024-11-29,2026-10-10,Industry,Industry Sponsor #267,Migraine,680
NCT100000063,Interventional,Phase 2,Unknown status,290,2020-12-10,,Other,Other Sponsor #320,Major Depressive Disorder,
NCT100000064,Interventional,Phase 3,Completed,40,2015-04-19,2017-08-21,Industry,Industry Sponsor #210,Coronary Artery Disease,855
NCT100000065,Interventional,Phase 2,Withdrawn,25,2020-07-04,2021-06-08,Industry,Industry Sponsor #195,Asthma,339
NCT100000066,Interventional,Phase 2,Completed,779,2025-06-29,2025-12-31,Industry,Industry Sponsor #147,Osteoarthritis,185
NCT100000067,Interventional,Phase 2,Completed,45,2018-01-04,2020-07-04,Industry,Industry Sponsor #346,Parkinson's Disease,912
NCT100000068,Interventional,Phase 3,Recruiting,24,2023-06-10,,Other,Other Sponsor #338,Ulcerative Colitis,
NCT100000069,Interventional,Phase 3,Completed,48,2014-06-28,2016-05-05,NIH,NIH Sponsor #385,Coronary Artery Disease,677
NCT100000070,Interventional,Phase 1,Completed,48,2020-01-17,2021-08-01,Industry,Industry Sponsor #126,Schizophrenia,562
NCT100000071,Interventional,Phase 2,Completed,8,2024-01-05,2025-12-31,Other,Other Sponsor #357,Chronic Kidney Disease,726
NCT100000072,Interventional,Phase 1,Completed,542,2022-03-10,2025-12-31,Other,Other Sponsor #385,Major Depressive Disorder,1392
NCT100000073,Interventional,Phase 1,Recruiting,83,2019-12-01,,Other,Other Sponsor #238,Alzheimer's Disease,
NCT100000074,Interventional,Phase 4,Completed,28,2023-05-15,2025-07-13,Industry,Industry Sponsor #238,Migraine,790
NCT100000075,Interventional,Phase 4,Terminated,34,2013-06-25,2014-05-11,Other,Other Sponsor #369,Obesity,320
NCT100000076,Interventional,Phase 2,"Active, not recruiting",66,2011-04-26,,Industry,Industry Sponsor #231,Alzheimer's Disease,
NCT100000077,Interventional,Phase 3,Recruiting,47,2013-08-14,,Industry,Industry Sponsor #249,Non-Small Cell Lung Cancer,
NCT100000078,Interventional,Phase 1,Completed,288,2019-11-13,2022-01-27,Industry,Industry Sponsor #164,Hypertension,806
NCT100000079,Interventional,Phase 1,Completed,90,2018-07-26,2020-03-10,Industry,Industry Sponsor #110,Obesity,593
NCT100000080,Interventional,Phase 2,Completed,2289,2013-09-21,2018-02-20,Industry,Industry Sponsor #216,Osteoarthritis,1613
NCT100000081,Interventional,Phase 4,"Active, not recruiting",37,2017-03-30,,Industry,Industry Sponsor #295,Breast Cancer,
NCT100000082,Interventional,Phase 4,Completed,121,2016-08-08,2018-04-09,Industry,Industry Sponsor #215,Migraine,609
NCT100000083,Interventional,Phase 3,Completed,99,2011-10-12,2013-05-07,Other,Other Sponsor #140,Breast Cancer,573
NCT100000084,Interventional,Phase 2,Recruiting,13,2024-07-15,,Other,Other Sponsor #371,HIV Infections,
NCT100000085,Interventional,Phase 4,Completed,75,2023-01-11,2025-05-27,Other,Other Sponsor #202,Breast Cancer,867
NCT100000086,Interventional,Phase 1,"Active, not recruiting",67,2013-01-07,,Industry,Industry Sponsor #94,Chronic Kidney Disease,
NCT100000087,Interventional,Phase 2,Completed,488,2018-09-17,2019-10-18,Industry,Industry Sponsor #195,Obesity,396
NCT100000088,Interventional,Phase 1,Completed,126,2020-08-04,2022-06-04,Industry,Industry Sponsor #277,Psoriasis,669
NCT100000089,Interventional,Phase 1,Unknown status,656,2017-04-02,,Industry,Industry Sponsor #21,Alzheimer's Disease,
NCT100000090,Interventional,Phase 3,Completed,160,2016-07-06,2018-10-14,Other,Other Sponsor #243,Osteoarthritis,830
NCT100000091,Interventional,Phase 2,Completed,61,2021-04-14,2024-09-21,Industry,Industry Sponsor #311,Major Depressive Disorder,1256
NCT100000092,Interventional,Phase 4,Completed,348,2018-03-19,2020-11-23,Industry,Industry Sponsor #160,Chronic Kidney Disease,980
NCT100000093,Interventional,Phase 2,Completed,153,2020-10-14,2022-10-31,Other,Other Sponsor #354,Alzheimer's Disease,747
NCT100000094,Interventional,Phase 3,Withdrawn,280,2015-04-28,2015-12-23,Industry,Industry Sponsor #62,Osteoarthritis,239
NCT100000095,Interventional,Phase 2,Completed,97,2023-11-29,2025-12-31,Industry,Industry Sponsor #260,Breast Cancer,763
NCT100000096,Interventional,Phase 3,Unknown status,208,2021-11-19,,Industry,Industry Sponsor #326,HIV Infections,
NCT100000097,Interventional,Phase 2,Unknown status,50,2025-01-14,,Other,Other Sponsor #139,Migraine,
NCT100000098,Interventional,Phase 2,Terminated,28,2025-05-19,2025-12-31,Other,Other Sponsor #166,Hypertension,226
NCT100000099,Interventional,Phase 4,Completed,28,2022-12-04,2025-04-14,Industry,Industry Sponsor #313,Multiple Sclerosis,862
NCT100000100,Interventional,Phase 2,Completed,128,2012-06-04,2015-09-16,Industry,Industry Sponsor #182,Multiple Sclerosis,1199
NCT100000101,Interventional,Phase 4,Completed,79,2017-12-27,2020-05-17,Other,Other Sponsor #6,Chronic Obstructive Pulmonary Disease,872
NCT100000102,Interventional,Phase 1,Terminated,5,2018-05-20,2018-12-24,Other,Other Sponsor #389,Parkinson's Disease,218
NCT100000103,Interventional,Phase 3,Recruiting,491,2012-10-03,,Industry,Industry Sponsor #48,Chronic Kidney Disease,
NCT100000104,Interventional,Phase 3,Completed,238,2020-11-12,2022-12-26,Industry,Industry Sponsor #243,Psoriasis,774
NCT100000105,Interventional,Phase 2,Completed,73,2016-01-02,2018-06-08,Other,Other Sponsor #360,Coronary Artery Disease,888
NCT100000106,Interventional,Phase 1,Completed,75,2016-06-18,2018-06-11,Industry,Industry Sponsor #62,Asthma,723
NCT100000107,Interventional,Phase 1,Recruiting,26,2025-01-15,,Industry,Industry Sponsor #390,Coronary Artery Disease,
NCT100000108,Interventional,Phase 4,Completed,347,2016-09-30,2018-08-09,Other,Other Sponsor #185,Breast Cancer,678
NCT100000109,Interventional,Phase 3,Completed,237,2022-09-14,2025-03-18,Industry,Industry Sponsor #28,Rheumatoid Arthritis,916
NCT100000110,Interventional,Phase 3,Completed,156,2021-10-06,2024-09-16,Other,Other Sponsor #7,Parkinson's Disease,1076
NCT100000111,Interventional,Phase 2,Unknown status,8,2020-07-21,,Industry,Industry Sponsor #130,Parkinson's Disease,
NCT100000112,Interventional,Phase 2,Terminated,53,2019-10-28,2020-10-03,Industry,Industry Sponsor #28,Osteoarthritis,341
NCT100000113,Interventional,Phase 4,Completed,21,2023-05-19,2024-11-01,Industry,Industry Sponsor #286,Schizophrenia,532
NCT100000114,Interventional,Phase 3,"Active, not recruiting",164,2015-07-12,,Industry,Industry Sponsor #153,Obesity,
NCT100000115,Interventional,Phase 2,Unknown status,17,2022-09-19,,Industry,Industry Sponsor #51,Chronic Obstructive Pulmonary Disease,
NCT100000116,Interventional,Phase 3,Completed,95,2025-12-14,2025-12-31,Industry,Industry Sponsor #39,Obesity,17
NCT100000117,Interventional,Phase 2,Completed,72,2012-08-05,2015-06-26,NIH,NIH Sponsor #119,Coronary Artery Disease,1055
NCT100000118,Interventional,Phase 3,Withdrawn,40,2011-06-08,2012-05-17,Industry,Industry Sponsor #136,Osteoarthritis,344
NCT100000119,Interventional,Phase 2,Withdrawn,57,2013-12-21,2015-02-08,Industry,Industry Sponsor #137,Hypertension,414
NCT100000120,Interventional,Phase 1,Recruiting,233,2011-01-30,,Industry,Industry Sponsor #292,HIV Infections,
NCT100000121,Interventional,Phase 3,Unknown status,10,2020-02-02,,Other,Other Sponsor #257,HIV Infections,
NCT100000122,Interventional,Phase 1,Completed,6,2014-07-30,2016-03-23,Industry,Industry Sponsor #166,Breast Cancer,602
NCT100000123,Interventional,Phase 1,"Active, not recruiting",69,2024-11-30,,Other,Other Sponsor #301,Non-Small Cell Lung Cancer,
NCT100000124,Interventional,Phase 3,Completed,414,2021-06-21,2023-12-03,Industry,Industry Sponsor #227,Asthma,895
NCT100000125,Interventional,Phase 3,Completed,426,2018-07-26,2021-02-18,Industry,Industry Sponsor #179,Multiple Sclerosis,938
NCT100000126,Interventional,Phase 3,Completed,8,2013-04-30,2015-04-10,Other,Other Sponsor #356,Chronic Kidney Disease,710
NCT100000127,Interventional,Phase 3,Completed,615,2021-08-24,2023-05-10,NIH,NIH Sponsor #162,Major Depressive Disorder,624
NCT100000128,Interventional,Phase 4,Completed,155,2020-03-30,2022-06-26,Industry,Industry Sponsor #1,Migraine,818
NCT100000129,Interventional,Phase 2,Completed,44,2013-08-06,2015-06-30,Industry,Industry Sponsor #388,HIV Infections,693
NCT100000130,Interventional,Phase 3,Completed,147,2017-11-16,2020-03-29,Industry,Industry Sponsor #148,Parkinson's Disease,864
NCT100000131,Interventional,Phase 1,Withdrawn,284,2013-03-06,2013-11-09,Other,Other Sponsor #123,Coronary Artery Disease,248
NCT100000132,Interventional,Phase 1,Completed,61,2021-06-30,2024-07-27,Industry,Industry Sponsor #59,Major Depressive Disorder,1123
NCT100000133,Interventional,Phase 3,Unknown status,134,2018-08-16,,Industry,Industry Sponsor #150,Non-Small Cell Lung Cancer,
NCT100000134,Interventional,Phase 2,Completed,980,2018-02-10,2020-06-01,Industry,Industry Sponsor #234,Chronic Kidney Disease,842
NCT100000135,Interventional,Phase 1,Recruiting,19,2015-07-28,,NIH,NIH Sponsor #70,Non-Small Cell Lung Cancer,
NCT100000136,Interventional,Phase 2,Completed,52,2020-02-29,2022-08-29,Other,Other Sponsor #2,Coronary Artery Disease,912
NCT100000137,Interventional,Phase 3,Withdrawn,5,2014-04-07,2014-12-07,NIH,NIH Sponsor #77,Parkinson's Disease,244
NCT100000138,Interventional,Phase 2,Terminated,824,2017-04-10,2018-10-02,NIH,NIH Sponsor #234,Chronic Obstructive Pulmonary Disease,540
NCT100000139,Interventional,Phase 1,Completed,32,2019-06-27,2021-05-17,Other,Other Sponsor #382,Chronic Kidney Disease,690
NCT100000140,Interventional,Phase 2,"Active, not recruiting",35,2015-09-29,,Other,Other Sponsor #78,Type 2 Diabetes Mellitus,
NCT100000141,Interventional,Phase 1,Completed,13,2019-03-28,2021-05-01,Other,Other Sponsor #52,HIV Infections,765
NCT100000142,Interventional,Phase 2,Recruiting,467,2018-09-09,,Industry,Industry Sponsor #210,Rheumatoid Arthritis,
NCT100000143,Interventional,Phase 2,Completed,112,2024-04-17,2026-07-04,Other,Other Sponsor #355,Hypertension,808
NCT100000144,Interventional,Phase 3,"Active, not recruiting",93,2022-12-30,,Other,Other Sponsor #195,Parkinson's Disease,
NCT100000145,Interventional,Phase 2,Withdrawn,193,2023-07-24,2025-01-09,Industry,Industry Sponsor #148,Hypertension,535
NCT100000146,Interventional,Phase 3,Completed,96,2015-03-18,2017-06-29,Other,Other Sponsor #86,Breast Cancer,834
NCT100000147,Interventional,Phase 2,Completed,61,2022-02-20,2023-05-19,Industry,Industry Sponsor #221,Ulcerative Colitis,453
NCT100000148,Interventional,Phase 2,Completed,167,2016-08-01,2018-05-16,Other,Other Sponsor #90,Chronic Kidney Disease,653
NCT100000149,Interventional,Phase 2,"Active, not recruiting",48,2016-06-22,,Industry,Industry Sponsor #74,Non-Small Cell Lung Cancer,
NCT100000150,Interventional,Phase 2,"Active, not recruiting",94,2025-12-06,,Other,Other Sponsor #239,Migraine,
NCT100000151,Interventional,Phase 2,Terminated,153,2015-08-31,2016-02-15,Industry,Industry Sponsor #328,Non-Small Cell Lung Cancer,168
NCT100000152,Interventional,Phase 1,Terminated,81,2020-08-11,2021-10-23,Industry,Industry Sponsor #122,Psoriasis,438
NCT100000153,Interventional,Phase 2,Completed,23,2013-06-16,2016-06-23,Other,Other Sponsor #338,Breast Cancer,1103
NCT100000154,Interventional,Phase 2,Recruiting,18,2019-05-04,,Other,Other Sponsor #26,Parkinson's Disease,
NCT100000155,Interventional,Phase 2,Terminated,72,2025-11-07,2025-12-31,Industry,Industry Sponsor #318,Rheumatoid Arthritis,54
NCT100000156,Interventional,Phase 3,Withdrawn,64,2012-03-14,2013-04-29,Other,Other Sponsor #159,Type 2 Diabetes Mellitus,411
NCT100000157,Interventional,Phase 2,"Active, not recruiting",30,2013-04-05,,Industry,Industry Sponsor #168,Asthma,
NCT100000158,Interventional,Phase 1,Unknown status,151,2024-08-09,,Industry,Industry Sponsor #272,Non-Small Cell Lung Cancer,
NCT100000159,Interventional,Phase 3,Recruiting,187,2014-06-29,,Industry,Industry Sponsor #247,Coronary Artery Disease,
NCT100000160,Interventional,Phase 2,Recruiting,336,2018-05-09,,Industry,Industry Sponsor #116,Chronic Kidney Disease,
NCT100000161,Interventional,Phase 2,Completed,20,2018-05-26,2019-09-28,Other,Other Sponsor #275,Psoriasis,490
NCT100000162,Interventional,Phase 3,Terminated,43,2020-07-24,2021-06-23,Other,Other Sponsor #327,Major Depressive Disorder,334
NCT100000163,Interventional,Phase 1,Terminated,15,2011-11-15,2013-01-08,Other,Other Sponsor #313,Hypertension,420
NCT100000164,Interventional,Phase 3,Withdrawn,170,2023-09-01,2024-10-23,Industry,Industry Sponsor #333,Rheumatoid Arthritis,418
NCT100000165,Interventional,Phase 1,Unknown status,63,2018-07-28,,Industry,Industry Sponsor #60,Migraine,
NCT100000166,Interventional,Phase 1,Recruiting,27,2019-10-22,,Industry,Industry Sponsor #381,Migraine,
NCT100000167,Interventional,Phase 2,"Active, not recruiting",17,2016-02-09,,Other,Other Sponsor #336,Parkinson's Disease,
NCT100000168,Interventional,Phase 2,Completed,82,2016-12-23,2019-04-09,Other,Other Sponsor #354,HIV Infections,837
NCT100000169,Interventional,Phase 2,Completed,210,2016-01-31,2018-03-22,Industry,Industry Sponsor #352,Psoriasis,781
NCT100000170,Interventional,Phase 1,Unknown status,111,2017-09-21,,Industry,Industry Sponsor #233,Chronic Obstructive Pulmonary Disease,
NCT100000171,Interventional,Phase 3,Completed,55,2019-12-23,2022-09-04,NIH,NIH Sponsor #171,Rheumatoid Arthritis,986
NCT100000172,Interventional,Phase 3,Recruiting,16,2020-07-03,,Industry,Industry Sponsor #284,Chronic Obstructive Pulmonary Disease,
NCT100000173,Interventional,Phase 3,Recruiting,378,2020-04-21,,Industry,Industry Sponsor #306,Rheumatoid Arthritis,
NCT100000174,Interventional,Phase 4,Recruiting,136,2022-06-03,,Industry,Industry Sponsor #57,Breast Cancer,
NCT100000175,Interventional,Phase 1,Completed,12,2021-10-22,2023-09-10,Other,Other Sponsor #166,Non-Small Cell Lung Cancer,688
NCT100000176,Interventional,Phase 1,Terminated,662,2012-09-17,2013-02-28,Other,Other Sponsor #382,HIV Infections,164
NCT100000177,Interventional,Phase 3,Completed,574,2020-10-23,2022-08-04,Industry,Industry Sponsor #258,Schizophrenia,650
NCT100000178,Interventional,Phase 1,"Active, not recruiting",6,2022-01-02,,Other,Other Sponsor #267,Breast Cancer,
NCT100000179,Interventional,Phase 1,Completed,55,2011-08-13,2013-05-10,Industry,Industry Sponsor #352,HIV Infections,636
NCT100000180,Interventional,Phase 1,Terminated,11,2017-12-22,2019-01-08,Industry,Industry Sponsor #34,Schizophrenia,382
NCT100000181,Interventional,Phase 3,Completed,43,2012-04-09,2014-05-09,Industry,Industry Sponsor #306,HIV Infections,760
NCT100000182,Interventional,Phase 2,Recruiting,150,2023-05-04,,Industry,Industry Sponsor #59,Migraine,
NCT100000183,Interventional,Phase 2,Completed,106,2016-08-03,2018-03-18,Other,Other Sponsor #233,Major Depressive Disorder,592
NCT100000184,Interventional,Phase 2,Completed,150,2021-09-12,2023-06-10,Industry,Industry Sponsor #79,Parkinson's Disease,636
NCT100000185,Interventional,Phase 1,Completed,118,2023-01-05,2024-09-11,Industry,Industry Sponsor #382,Rheumatoid Arthritis,615
NCT100000186,Interventional,Phase 1,Terminated,56,2023-11-14,2024-10-17,Other,Other Sponsor #344,Psoriasis,338
NCT100000187,Interventional,Phase 4,Completed,28,2011-06-12,2013-07-01,Other,Other Sponsor #370,Coronary Artery Disease,750
NCT100000188,Interventional,Phase 2,Terminated,5,2014-07-25,2016-05-30,Industry,Industry Sponsor #109,Parkinson's Disease,675
NCT100000189,Interventional,Phase 1,"Active, not recruiting",9,2015-06-26,,Industry,Industry Sponsor #189,Non-Small Cell Lung Cancer,
NCT100000190,Interventional,Phase 2,"Active, not recruiting",38,2016-12-14,,Other,Other Sponsor #393,Schizophrenia,
NCT100000191,Interventional,Phase 1,"Active, not recruiting",13,2024-04-18,,Other,Other Sponsor #137,Non-Small Cell Lung Cancer,
NCT100000192,Interventional,Phase 3,Completed,164,2012-04-09,2013-12-07,Industry,Industry Sponsor #4,Rheumatoid Arthritis,607
NCT100000193,Interventional,Phase 2,Completed,109,2025-12-24,2025-12-31,Industry,Industry Sponsor #325,Hypertension,7
NCT100000194,Interventional,Phase 2,Completed,12,2019-08-16,2021-12-31,Industry,Industry Sponsor #160,Osteoarthritis,868
NCT100000195,Interventional,Phase 4,Recruiting,73,2018-06-15,,Industry,Industry Sponsor #26,Non-Small Cell Lung Cancer,
NCT100000196,Interventional,Phase 3,Completed,25,2016-06-24,2019-06-16,Industry,Industry Sponsor #140,Ulcerative Colitis,1087
NCT100000197,Interventional,Phase 1,Completed,110,2017-10-19,2020-12-23,Industry,Industry Sponsor #348,Ulcerative Colitis,1161
NCT100000198,Interventional,Phase 3,Completed,88,2025-05-21,2025-12-31,Industry,Industry Sponsor #307,Chronic Obstructive Pulmonary Disease,224
NCT100000199,Interventional,Phase 2,Completed,12,2024-06-14,2025-10-27,Industry,Industry Sponsor #131,Major Depressive Disorder,500
NCT100000200,Interventional,Phase 1,Completed,5,2018-12-10,2021-09-08,Other,Other Sponsor #195,Alzheimer's Disease,1003
NCT100000201,Interventional,Phase 2,Recruiting,10,2015-06-29,,Other,Other Sponsor #37,Type 2 Diabetes Mellitus,
NCT100000202,Interventional,Phase 2,Completed,134,2015-11-02,2020-08-30,Industry,Industry Sponsor #161,Osteoarthritis,1763
NCT100000203,Interventional,Phase 2,Completed,44,2022-11-17,2025-10-26,Other,Other Sponsor #208,Multiple Sclerosis,1074
NCT100000204,Interventional,Phase 1,Terminated,28,2025-12-01,2026-07-25,Other,Other Sponsor #354,Hypertension,236
NCT100000205,Interventional,Phase 1,Terminated,456,2019-06-07,2020-01-26,NIH,NIH Sponsor #203,Multiple Sclerosis,233
NCT100000206,Interventional,Phase 2,Completed,67,2018-09-09,2021-10-06,Industry,Industry Sponsor #59,Chronic Obstructive Pulmonary Disease,1123
NCT100000207,Interventional,Phase 4,Withdrawn,36,2012-07-18,2012-12-16,Industry,Industry Sponsor #331,Alzheimer's Disease,151
NCT100000208,Interventional,Phase 1,Terminated,71,2017-10-29,2019-03-25,Industry,Industry Sponsor #390,Hypertension,512
NCT100000209,Interventional,Phase 4,Completed,50,2012-09-03,2015-12-06,Other,Other Sponsor #289,HIV Infections,1189
NCT100000210,Interventional,Phase 3,Completed,109,2014-02-08,2016-06-13,Other,Other Sponsor #322,HIV Infections,856
NCT100000211,Interventional,Phase 1,Completed,201,2011-01-10,2012-06-25,Industry,Industry Sponsor #141,Psoriasis,532
NCT100000212,Interventional,Phase 2,Completed,22,2018-08-15,2020-01-04,Industry,Industry Sponsor #30,Coronary Artery Disease,507
NCT100000213,Interventional,Phase 1,"Active, not recruiting",15,2022-09-16,,Other,Other Sponsor #315,Chronic Kidney Disease,
NCT100000214,Interventional,Phase 2,Recruiting,276,2014-11-27,,NIH,NIH Sponsor #22,Osteoarthritis,
NCT100000215,Interventional,Phase 3,Completed,16,2014-08-21,2016-07-24,Industry,Industry Sponsor #78,HIV Infections,703
NCT100000216,Interventional,Phase 4,Completed,217,2015-12-17,2017-08-12,Industry,Industry Sponsor #21,HIV Infections,604
NCT100000217,Interventional,Phase 4,Completed,96,2021-09-02,2024-06-12,Industry,Industry Sponsor #187,Coronary Artery Disease,1014
